uid,datetime,type,sub_type,suuid,value,level,sensor_status
687,2025-04-26 10:22:00,calls,2,822cd992-4eae-4ab5-8566-17aa0206cb1b,41,41.0,OUTGOING
687,2025-04-26 10:22:00,calls,2,74d2e30e-32ac-4b8a-bd79-6ac39dd3619a,41,41.0,OUTGOING
678,2025-04-26 12:43:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
687,2025-04-26 13:44:00,calls,2,6681a124-465b-4663-b4df-244a348f0e6a,0,0.0,OUTGOING
687,2025-04-26 13:44:00,calls,2,2db4aa8f-fc12-4235-bef8-ea1563099139,0,0.0,OUTGOING
687,2025-04-26 13:44:00,calls,2,6681a124-465b-4663-b4df-244a348f0e6a,17,17.0,OUTGOING
687,2025-04-26 13:44:00,calls,2,2db4aa8f-fc12-4235-bef8-ea1563099139,17,17.0,OUTGOING
668,2025-04-26 14:02:00,calls,3,ed50baf7-5096-48d5-82d5-24f7abdfcdd6,0,0.0,MISSED
668,2025-04-26 14:02:00,calls,3,98a2a78e-b9d3-4c12-a461-b34fb7cdf7e5,0,0.0,MISSED
668,2025-04-26 14:08:00,calls,2,ed50baf7-5096-48d5-82d5-24f7abdfcdd6,26,26.0,OUTGOING
668,2025-04-26 14:08:00,calls,2,98a2a78e-b9d3-4c12-a461-b34fb7cdf7e5,26,26.0,OUTGOING
687,2025-04-26 14:45:00,calls,1,174001ea-37c9-47f8-9935-e11ab4cf4cb5,19,19.0,INCOMING
687,2025-04-26 14:45:00,calls,1,dd8a44a4-2103-40fe-b009-d4b930bc574c,19,19.0,INCOMING
685,2025-04-26 15:10:00,calls,2,402f92b1-5b39-4f39-95d3-f63038468ccf,0,0.0,OUTGOING
668,2025-04-26 15:51:00,calls,1,ed50baf7-5096-48d5-82d5-24f7abdfcdd6,38,38.0,INCOMING
668,2025-04-26 15:51:00,calls,1,98a2a78e-b9d3-4c12-a461-b34fb7cdf7e5,38,38.0,INCOMING
668,2025-04-26 15:58:00,calls,2,ed50baf7-5096-48d5-82d5-24f7abdfcdd6,18,18.0,OUTGOING
668,2025-04-26 15:58:00,calls,2,98a2a78e-b9d3-4c12-a461-b34fb7cdf7e5,18,18.0,OUTGOING
687,2025-04-26 16:10:00,calls,2,f399432d-e63e-4b9e-a790-e50b47e7e293,31,31.0,OUTGOING
687,2025-04-26 16:10:00,calls,2,50e93d20-2f9d-40da-a737-a4ef03c60724,31,31.0,OUTGOING
681,2025-04-26 17:08:00,calls,1,c89855fc-f549-406e-a9f4-881d069e1772,125,125.0,INCOMING
681,2025-04-26 17:08:00,calls,1,c89855fc-f549-406e-a9f4-881d069e1772,125,125.0,INCOMING
681,2025-04-26 17:08:00,calls,1,6a9815ab-bf89-4de3-9467-7039b6602efd,125,125.0,INCOMING
681,2025-04-26 17:10:00,calls,3,c89855fc-f549-406e-a9f4-881d069e1772,0,0.0,MISSED
681,2025-04-26 17:10:00,calls,3,c89855fc-f549-406e-a9f4-881d069e1772,0,0.0,MISSED
