uid,datetime,type,sub_type,suuid,value,level,sensor_status
676,2025-05-13 10:30:00,calls,1,5467ad8b-8a05-422c-94b2-bac028924c31,260,260.0,INCOMING
676,2025-05-13 10:43:00,calls,1,5467ad8b-8a05-422c-94b2-bac028924c31,32,32.0,INCOMING
678,2025-05-13 12:02:00,calls,2,99c9809b-4b9c-4306-bc84-b8f1866f03fc,0,0.0,OUTGOING
687,2025-05-13 12:18:00,calls,3,31ce9da2-5504-4dd4-b7d8-306146a560af,0,0.0,MISSED
687,2025-05-13 12:22:00,calls,2,31ce9da2-5504-4dd4-b7d8-306146a560af,80,80.0,OUTGOING
676,2025-05-13 13:16:00,calls,2,5467ad8b-8a05-422c-94b2-bac028924c31,45,45.0,OUTGOING
678,2025-05-13 15:48:00,calls,2,41fb2272-57da-4275-9158-6b566c76e9b8,33,33.0,OUTGOING
678,2025-05-13 15:51:00,calls,2,41fb2272-57da-4275-9158-6b566c76e9b8,25,25.0,OUTGOING
678,2025-05-13 15:52:00,calls,1,bcc28043-e9fc-406b-8287-ff03ecad8671,11,11.0,INCOMING
678,2025-05-13 16:01:00,calls,2,bcc28043-e9fc-406b-8287-ff03ecad8671,100,100.0,OUTGOING
668,2025-05-13 16:12:00,calls,3,d1914363-6b3e-4e33-b6b2-16a1f36dd3d9,0,0.0,MISSED
687,2025-05-13 16:19:00,calls,1,31ce9da2-5504-4dd4-b7d8-306146a560af,64,64.0,INCOMING
678,2025-05-13 16:29:00,calls,1,59321b77-5b0d-430c-acf9-bcafcfec8c3c,170,170.0,INCOMING
668,2025-05-13 17:19:00,calls,2,8df9381c-7027-4025-ba64-9ba213155fa4,138,138.0,OUTGOING
678,2025-05-13 17:21:00,calls,2,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,OUTGOING
678,2025-05-13 17:33:00,calls,2,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,OUTGOING
678,2025-05-13 17:34:00,calls,1,802cd306-038c-46b7-bee0-6ec6d31538f9,27,27.0,INCOMING
678,2025-05-13 18:50:00,calls,2,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,OUTGOING
678,2025-05-13 19:02:00,calls,1,802cd306-038c-46b7-bee0-6ec6d31538f9,377,377.0,INCOMING
676,2025-05-13 19:04:00,calls,2,8d7fd047-8346-46be-a959-caf896dae073,0,0.0,OUTGOING
678,2025-05-13 19:09:00,calls,1,802cd306-038c-46b7-bee0-6ec6d31538f9,72,72.0,INCOMING
676,2025-05-13 19:10:00,calls,1,c7987666-6a3c-49df-9130-dbd369a059f5,43,43.0,INCOMING
678,2025-05-13 19:25:00,calls,2,802cd306-038c-46b7-bee0-6ec6d31538f9,18,18.0,OUTGOING
687,2025-05-13 19:26:00,calls,2,50e93d20-2f9d-40da-a737-a4ef03c60724,0,0.0,OUTGOING
687,2025-05-13 19:27:00,calls,2,50e93d20-2f9d-40da-a737-a4ef03c60724,0,0.0,OUTGOING
687,2025-05-13 19:33:00,calls,2,50e93d20-2f9d-40da-a737-a4ef03c60724,18,18.0,OUTGOING
687,2025-05-13 19:36:00,calls,1,50e93d20-2f9d-40da-a737-a4ef03c60724,122,122.0,INCOMING
678,2025-05-13 19:46:00,calls,1,802cd306-038c-46b7-bee0-6ec6d31538f9,22,22.0,INCOMING
676,2025-05-13 20:18:00,calls,5,b60ba592-4481-4cb3-a368-7a2eb8b50bc0,0,0.0,REJECTED
676,2025-05-13 20:37:00,calls,2,b60ba592-4481-4cb3-a368-7a2eb8b50bc0,144,144.0,OUTGOING
685,2025-05-13 20:44:00,calls,2,ef75249a-ef60-48b0-8df8-4ded13bcfd49,0,0.0,OUTGOING
678,2025-05-13 22:20:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-13 22:21:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
685,2025-05-13 22:21:00,calls,2,67129173-4a10-4229-b26e-479012c804d2,0,0.0,OUTGOING
685,2025-05-13 22:22:00,calls,1,67129173-4a10-4229-b26e-479012c804d2,40,40.0,INCOMING
678,2025-05-14 01:26:00,calls,2,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,OUTGOING
