uid,datetime,type,sub_type,suuid,value,level,sensor_status
678,2025-05-22 09:15:23,calls,1,802cd306-038c-46b7-bee0-6ec6d31538f9,238,238.0,INCOMING
678,2025-05-22 09:32:19,calls,1,47d7d32c-c59d-493c-94d8-6ea41f18d163,532,532.0,INCOMING
678,2025-05-22 09:53:50,calls,1,802cd306-038c-46b7-bee0-6ec6d31538f9,406,406.0,INCOMING
678,2025-05-22 11:17:18,calls,5,ff9eb867-cd35-4f7e-93fc-5c8fa6d15ab2,0,0.0,REJECTED
678,2025-05-22 11:17:36,calls,3,ff9eb867-cd35-4f7e-93fc-5c8fa6d15ab2,0,0.0,MISSED
676,2025-05-22 11:54:07,calls,2,a610c291-4bbe-410e-aa4d-890c06fb9188,104,104.0,OUTGOING
687,2025-05-22 11:55:19,calls,2,50e93d20-2f9d-40da-a737-a4ef03c60724,14,14.0,OUTGOING
676,2025-05-22 11:56:31,calls,2,a610c291-4bbe-410e-aa4d-890c06fb9188,0,0.0,OUTGOING
676,2025-05-22 11:57:36,calls,2,a610c291-4bbe-410e-aa4d-890c06fb9188,0,0.0,OUTGOING
676,2025-05-22 11:57:37,calls,1,c80df2b7-4adf-4c13-8a32-d4d2edc463a9,520,520.0,INCOMING
681,2025-05-22 12:05:17,calls,1,a3d550fb-40a1-4220-bcfb-74408057afee,81,81.0,INCOMING
685,2025-05-22 12:08:17,calls,1,63aef281-d0cb-4dae-837d-f66d75261881,79,79.0,INCOMING
685,2025-05-22 12:11:03,calls,1,63aef281-d0cb-4dae-837d-f66d75261881,43,43.0,INCOMING
670,2025-05-22 12:36:53,calls,1,860ec489-8464-42da-8e1a-324e8571a723,33,33.0,INCOMING
676,2025-05-22 12:38:31,calls,1,cc7293b4-fc76-4ddd-adcd-cec98a519c08,204,204.0,INCOMING
685,2025-05-22 12:42:48,calls,1,63aef281-d0cb-4dae-837d-f66d75261881,56,56.0,INCOMING
685,2025-05-22 13:20:52,calls,1,63aef281-d0cb-4dae-837d-f66d75261881,12,12.0,INCOMING
685,2025-05-22 13:21:23,calls,3,4d743b01-b690-42d9-9c36-f4f9a5300806,21,21.0,MISSED
681,2025-05-22 13:36:52,calls,3,fbd4bc77-d04b-497d-b407-e6fab537f6cf,18,18.0,MISSED
685,2025-05-22 14:01:59,calls,3,9b7425a4-3dd8-43e8-9730-ae09ffa7c0ab,26,26.0,MISSED
685,2025-05-22 14:02:36,calls,2,9b7425a4-3dd8-43e8-9730-ae09ffa7c0ab,14,14.0,OUTGOING
678,2025-05-22 14:05:33,calls,3,63457574-8ddb-4e62-a8ed-365bb680d653,0,0.0,MISSED
678,2025-05-22 14:14:42,calls,2,63457574-8ddb-4e62-a8ed-365bb680d653,29,29.0,OUTGOING
685,2025-05-22 14:50:47,calls,2,935a3662-0fef-4483-be6f-c3f57baa2e16,0,0.0,OUTGOING
685,2025-05-22 14:54:18,calls,1,b11637e4-42f0-4953-849f-2c8a9312782a,36,36.0,INCOMING
685,2025-05-22 14:58:34,calls,2,935a3662-0fef-4483-be6f-c3f57baa2e16,211,211.0,OUTGOING
685,2025-05-22 15:25:12,calls,2,498bd431-6d31-4308-b15b-820c7c9aedbe,30,30.0,OUTGOING
687,2025-05-22 15:57:39,calls,1,50e93d20-2f9d-40da-a737-a4ef03c60724,5,5.0,INCOMING
681,2025-05-22 16:11:13,calls,1,6a9918e7-e9db-48e5-860c-6da4908dd884,59,59.0,INCOMING
687,2025-05-22 16:17:06,calls,2,50e93d20-2f9d-40da-a737-a4ef03c60724,78,78.0,OUTGOING
676,2025-05-22 16:17:43,calls,2,0e978d99-63c0-4840-be22-25acb80894b1,68,68.0,OUTGOING
676,2025-05-22 16:20:11,calls,5,8d6e6706-2fcc-424d-9edc-26727e4f631d,0,0.0,REJECTED
681,2025-05-22 16:31:05,calls,3,6a9918e7-e9db-48e5-860c-6da4908dd884,32,32.0,MISSED
681,2025-05-22 16:33:09,calls,2,6a9918e7-e9db-48e5-860c-6da4908dd884,147,147.0,OUTGOING
687,2025-05-22 16:36:37,calls,1,74d2e30e-32ac-4b8a-bd79-6ac39dd3619a,48,48.0,INCOMING
687,2025-05-22 16:39:28,calls,2,50e93d20-2f9d-40da-a737-a4ef03c60724,8,8.0,OUTGOING
687,2025-05-22 17:02:55,calls,3,74d2e30e-32ac-4b8a-bd79-6ac39dd3619a,0,0.0,MISSED
687,2025-05-22 17:30:11,calls,2,50e93d20-2f9d-40da-a737-a4ef03c60724,0,0.0,OUTGOING
687,2025-05-22 17:31:16,calls,2,50e93d20-2f9d-40da-a737-a4ef03c60724,0,0.0,OUTGOING
685,2025-05-22 17:41:00,calls,3,38f90e3d-80fc-4ee7-a869-f52b5387170d,21,21.0,MISSED
687,2025-05-22 17:54:11,calls,1,24940e52-b399-4321-90b8-62a2977abf09,29,29.0,INCOMING
678,2025-05-22 18:09:49,calls,2,2bbe650e-c457-47f4-8af8-080989621856,107,107.0,OUTGOING
676,2025-05-22 18:40:12,calls,2,2466c0f2-7970-4f78-8bd4-5ed5a56a3069,15,15.0,OUTGOING
678,2025-05-22 18:58:33,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-22 18:59:48,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-22 19:02:39,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
687,2025-05-22 19:06:02,calls,1,f0120b9b-9b95-4bdd-b3c9-29ce9c4bf72f,21,21.0,INCOMING
676,2025-05-22 19:36:15,calls,1,db9dad87-50f3-4769-a16e-22d45421547c,794,794.0,INCOMING
676,2025-05-22 19:42:47,calls,3,ad60eb29-30d3-4aa9-ae5d-4ea003da16dd,0,0.0,MISSED
676,2025-05-22 19:50:15,calls,2,ad60eb29-30d3-4aa9-ae5d-4ea003da16dd,75,75.0,OUTGOING
676,2025-05-22 19:53:41,calls,1,ad60eb29-30d3-4aa9-ae5d-4ea003da16dd,222,222.0,INCOMING
676,2025-05-22 19:59:24,calls,1,ad60eb29-30d3-4aa9-ae5d-4ea003da16dd,60,60.0,INCOMING
676,2025-05-22 20:01:26,calls,2,ad60eb29-30d3-4aa9-ae5d-4ea003da16dd,54,54.0,OUTGOING
676,2025-05-22 20:07:09,calls,1,ad60eb29-30d3-4aa9-ae5d-4ea003da16dd,54,54.0,INCOMING
676,2025-05-22 20:12:51,calls,2,ad60eb29-30d3-4aa9-ae5d-4ea003da16dd,0,0.0,OUTGOING
676,2025-05-22 20:13:07,calls,1,ad60eb29-30d3-4aa9-ae5d-4ea003da16dd,12,12.0,INCOMING
676,2025-05-22 20:44:22,calls,3,72b4bdf3-11ef-4007-a3b1-3b17b95190fa,0,0.0,MISSED
676,2025-05-22 20:49:55,calls,2,72b4bdf3-11ef-4007-a3b1-3b17b95190fa,0,0.0,OUTGOING
676,2025-05-22 20:52:02,calls,2,72b4bdf3-11ef-4007-a3b1-3b17b95190fa,0,0.0,OUTGOING
676,2025-05-22 21:17:33,calls,3,72b4bdf3-11ef-4007-a3b1-3b17b95190fa,0,0.0,MISSED
685,2025-05-22 21:53:26,calls,5,78d387c6-eab9-4356-abca-7bd8fd52e587,11,11.0,REJECTED
685,2025-05-22 21:54:03,calls,2,78d387c6-eab9-4356-abca-7bd8fd52e587,17,17.0,OUTGOING
687,2025-05-22 23:24:47,calls,2,b51331dc-9c42-4259-926a-0f8c1c4aea82,37,37.0,OUTGOING
678,2025-05-23 09:42:22,calls,3,615bffc3-9ccb-403c-b877-fb0bde9408f5,0,0.0,MISSED
670,2025-05-23 12:04:33,calls,1,5e64225a-85c5-4443-bf98-31ea94200215,42,42.0,INCOMING
687,2025-05-23 13:43:21,calls,2,50e93d20-2f9d-40da-a737-a4ef03c60724,14,14.0,OUTGOING
687,2025-05-23 13:44:49,calls,2,50e93d20-2f9d-40da-a737-a4ef03c60724,32,32.0,OUTGOING
687,2025-05-23 13:52:50,calls,1,50e93d20-2f9d-40da-a737-a4ef03c60724,44,44.0,INCOMING
676,2025-05-23 14:08:49,calls,2,b60ba592-4481-4cb3-a368-7a2eb8b50bc0,50,50.0,OUTGOING
687,2025-05-23 14:30:04,calls,2,5c2573e9-1007-4891-92d4-b5e7396e2802,7,7.0,OUTGOING
670,2025-05-23 14:36:10,calls,2,5e64225a-85c5-4443-bf98-31ea94200215,61,61.0,OUTGOING
676,2025-05-23 14:57:10,calls,1,b08a74ac-ba46-42cb-8f7b-a670e8c86034,58,58.0,INCOMING
676,2025-05-23 15:13:01,calls,1,b08a74ac-ba46-42cb-8f7b-a670e8c86034,6,6.0,INCOMING
687,2025-05-23 15:14:09,calls,2,ac254ab8-6d61-48a6-8ec4-6af8d43d96bf,0,0.0,OUTGOING
687,2025-05-23 15:14:14,calls,2,ac254ab8-6d61-48a6-8ec4-6af8d43d96bf,559,559.0,OUTGOING
685,2025-05-23 15:22:15,calls,1,4d743b01-b690-42d9-9c36-f4f9a5300806,419,419.0,INCOMING
687,2025-05-23 15:33:54,calls,2,682457c6-d156-41a0-9337-945f96b4dc34,0,0.0,OUTGOING
687,2025-05-23 15:34:45,calls,2,ac254ab8-6d61-48a6-8ec4-6af8d43d96bf,0,0.0,OUTGOING
687,2025-05-23 15:34:55,calls,2,682457c6-d156-41a0-9337-945f96b4dc34,0,0.0,OUTGOING
687,2025-05-23 15:39:05,calls,2,27d31113-ad65-4fa9-acb1-67cee9994abe,44,44.0,OUTGOING
685,2025-05-23 16:04:23,calls,3,fd545ff8-6a44-4702-9824-4da3cc2b20e5,37,37.0,MISSED
687,2025-05-23 16:04:49,calls,1,50e93d20-2f9d-40da-a737-a4ef03c60724,12,12.0,INCOMING
668,2025-05-23 16:57:42,calls,1,dce20436-bff2-4396-aa12-85d5a29574d0,69,69.0,INCOMING
668,2025-05-23 17:08:59,calls,2,e6bb941f-da60-4da5-b2f2-583ea9ef706a,21,21.0,OUTGOING
668,2025-05-23 17:56:15,calls,2,52ebd4bc-e7f2-41d5-851b-18667a009844,0,0.0,OUTGOING
668,2025-05-23 17:56:23,calls,2,52ebd4bc-e7f2-41d5-851b-18667a009844,211,211.0,OUTGOING
687,2025-05-23 18:29:53,calls,2,50e93d20-2f9d-40da-a737-a4ef03c60724,602,602.0,OUTGOING
676,2025-05-23 18:43:35,calls,1,72b4bdf3-11ef-4007-a3b1-3b17b95190fa,335,335.0,INCOMING
685,2025-05-23 19:40:29,calls,1,fd545ff8-6a44-4702-9824-4da3cc2b20e5,175,175.0,INCOMING
687,2025-05-23 21:28:32,calls,2,50e93d20-2f9d-40da-a737-a4ef03c60724,35,35.0,OUTGOING
678,2025-05-23 21:29:29,calls,2,3fc2b1a1-5b57-46cc-8d40-6045a8967be1,591,591.0,OUTGOING
668,2025-05-23 22:51:09,calls,1,dce20436-bff2-4396-aa12-85d5a29574d0,16,16.0,INCOMING
