datetime,value,uid,type
2025-05-22 04:09:00,0.0,668,light
2025-05-22 04:10:00,0.2,668,light
2025-05-22 04:11:00,0.4,668,light
2025-05-22 04:12:00,0.6000000000000001,668,light
2025-05-22 04:13:00,0.8,668,light
2025-05-22 04:14:00,1.0,668,light
2025-05-22 04:15:00,1.2000000000000002,668,light
2025-05-22 04:16:00,1.4000000000000001,668,light
2025-05-22 04:17:00,1.6,668,light
2025-05-22 04:18:00,1.8,668,light
2025-05-22 04:19:00,2.0,668,light
2025-05-22 04:20:00,2.2,668,light
2025-05-22 04:21:00,2.4000000000000004,668,light
2025-05-22 04:22:00,2.6,668,light
2025-05-22 04:23:00,2.8000000000000003,668,light
2025-05-22 04:24:00,3.0,668,light
2025-05-22 04:25:00,3.0,668,light
2025-05-22 04:26:00,3.0,668,light
2025-05-22 04:27:00,3.0,668,light
2025-05-22 04:28:00,3.0,668,light
2025-05-22 04:29:00,3.0,668,light
2025-05-22 04:30:00,3.0,668,light
2025-05-22 04:31:00,3.0,668,light
2025-05-22 04:32:00,3.0,668,light
2025-05-22 04:33:00,3.0,668,light
2025-05-22 04:34:00,3.0,668,light
2025-05-22 04:35:00,3.0,668,light
2025-05-22 04:36:00,3.0,668,light
2025-05-22 04:37:00,3.0,668,light
2025-05-22 04:38:00,3.0,668,light
2025-05-22 04:39:00,3.0,668,light
2025-05-22 04:40:00,3.0,668,light
2025-05-22 04:41:00,3.0,668,light
2025-05-22 04:42:00,3.0,668,light
2025-05-22 04:43:00,3.0,668,light
2025-05-22 04:44:00,3.0,668,light
2025-05-22 04:45:00,3.0,668,light
2025-05-22 04:46:00,3.0,668,light
2025-05-22 04:47:00,3.0,668,light
2025-05-22 04:48:00,3.0,668,light
2025-05-22 04:49:00,3.0,668,light
2025-05-22 04:50:00,3.0,668,light
2025-05-22 04:51:00,3.0,668,light
2025-05-22 04:52:00,3.0,668,light
2025-05-22 04:53:00,3.0,668,light
2025-05-22 04:54:00,3.0,668,light
2025-05-22 04:55:00,2.8,668,light
2025-05-22 04:56:00,2.6,668,light
2025-05-22 04:57:00,2.4,668,light
2025-05-22 04:58:00,2.2,668,light
2025-05-22 04:59:00,2.0,668,light
2025-05-22 05:00:00,1.7999999999999998,668,light
2025-05-22 05:01:00,1.5999999999999999,668,light
2025-05-22 05:02:00,1.4,668,light
2025-05-22 05:03:00,1.2,668,light
2025-05-22 05:04:00,1.0,668,light
2025-05-22 05:05:00,0.7999999999999998,668,light
2025-05-22 05:06:00,0.5999999999999996,668,light
2025-05-22 05:07:00,0.3999999999999999,668,light
2025-05-22 05:08:00,0.19999999999999973,668,light
2025-05-22 05:09:00,0.0,668,light
2025-05-22 05:10:00,0.0,668,light
