uid,datetime,type,sub_type,suuid,level,value,sensor_status,x,y,z,data,date
678,2025-04-26 04:55:00,location,periodic,,100.0,5709.294,off,,,,"{""distance"":5709.294,""accuracy"":100,""timestamp"":1745632539253,""altitude"":""ca907113-38d8-44b9-add0-a315b0caa3b1"",""latitude"":""782d7d1f-c5fd-4e82-94da-b47c546d94f8"",""longitude"":""4152a8f1-c4d8-4192-8cd9-5b42b646e46a"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":109865252085270,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-04-26
678,2025-04-26 06:33:00,location,periodic,,100.0,0.48877957,off,,,,"{""distance"":0.48877957,""accuracy"":100,""timestamp"":1745638402527,""altitude"":""ca907113-38d8-44b9-add0-a315b0caa3b1"",""latitude"":""782d7d1f-c5fd-4e82-94da-b47c546d94f8"",""longitude"":""4152a8f1-c4d8-4192-8cd9-5b42b646e46a"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":115728527057548,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-04-26
678,2025-04-26 08:01:00,location,periodic,,100.0,1.1008168,off,,,,"{""distance"":1.1008168,""accuracy"":100,""timestamp"":1745643671248,""altitude"":""96b2f81b-0a0f-4850-a54f-dc70dc8b5844"",""latitude"":""782d7d1f-c5fd-4e82-94da-b47c546d94f8"",""longitude"":""4152a8f1-c4d8-4192-8cd9-5b42b646e46a"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":120997247225057,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-04-26
678,2025-04-26 08:19:00,location,periodic,,15.086,2.2949412,off,,,,"{""distance"":2.2949412,""accuracy"":15.086,""timestamp"":1745644740235,""altitude"":""96b2f81b-0a0f-4850-a54f-dc70dc8b5844"",""latitude"":""782d7d1f-c5fd-4e82-94da-b47c546d94f8"",""longitude"":""4152a8f1-c4d8-4192-8cd9-5b42b646e46a"",""bearing"":359.9993,""bearingAccuracyDegrees"":45,""elapsedRealtimeNanos"":122066234047204,""speed"":0.3973361,""speedAccuracyMetersPerSecond"":1.5,""verticalAccuracyMeters"":1.1855338,""provider"":""fused"",""sub_type"":""periodic""}",2025-04-26
678,2025-04-26 08:57:00,location,periodic,,100.0,2.1110566,off,,,,"{""distance"":2.1110566,""accuracy"":100,""timestamp"":1745647070955,""altitude"":""ca907113-38d8-44b9-add0-a315b0caa3b1"",""latitude"":""782d7d1f-c5fd-4e82-94da-b47c546d94f8"",""longitude"":""4152a8f1-c4d8-4192-8cd9-5b42b646e46a"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":124396955451171,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-04-26
678,2025-04-26 09:15:00,location,periodic,,100.0,7.8234687,off,,,,"{""distance"":7.8234687,""accuracy"":100,""timestamp"":1745648121013,""altitude"":""ca907113-38d8-44b9-add0-a315b0caa3b1"",""latitude"":""782d7d1f-c5fd-4e82-94da-b47c546d94f8"",""longitude"":""4152a8f1-c4d8-4192-8cd9-5b42b646e46a"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":125447013949972,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-04-26
685,2025-04-26 09:16:00,location,periodic,,13.4,2.9661431,off,,,,"{""distance"":2.9661431,""accuracy"":13.4,""timestamp"":1745648163901,""altitude"":""ca4ddc62-1b35-43be-80d6-7b59d1cec276"",""latitude"":""28d2b3f2-7f3e-426c-81a2-b2a38bf2f712"",""longitude"":""20bf4d01-6144-4ae8-b153-59601dd618de"",""bearing"":0,""bearingAccuracyDegrees"":45,""elapsedRealtimeNanos"":3513244441000000,""speed"":0,""speedAccuracyMetersPerSecond"":1.5,""verticalAccuracyMeters"":1.6075125,""provider"":""fused"",""sub_type"":""periodic""}",2025-04-26
678,2025-04-26 09:30:00,location,periodic,,100.0,6.0368605,off,,,,"{""distance"":6.0368605,""accuracy"":100,""timestamp"":1745649022128,""altitude"":""ca907113-38d8-44b9-add0-a315b0caa3b1"",""latitude"":""782d7d1f-c5fd-4e82-94da-b47c546d94f8"",""longitude"":""4152a8f1-c4d8-4192-8cd9-5b42b646e46a"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":126348128201626,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-04-26
678,2025-04-26 09:45:00,location,periodic,,100.0,0.0,off,,,,"{""distance"":0,""accuracy"":100,""timestamp"":1745649923921,""altitude"":""ca907113-38d8-44b9-add0-a315b0caa3b1"",""latitude"":""782d7d1f-c5fd-4e82-94da-b47c546d94f8"",""longitude"":""4152a8f1-c4d8-4192-8cd9-5b42b646e46a"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":127249921057126,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-04-26
678,2025-04-26 10:00:00,location,periodic,,100.0,6.955504,off,,,,"{""distance"":6.955504,""accuracy"":100,""timestamp"":1745650824130,""altitude"":""ca907113-38d8-44b9-add0-a315b0caa3b1"",""latitude"":""782d7d1f-c5fd-4e82-94da-b47c546d94f8"",""longitude"":""4152a8f1-c4d8-4192-8cd9-5b42b646e46a"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":128150129223247,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-04-26
