uid,datetime,type,sub_type,suuid,level,value,sensor_status,x,y,z,data,date
668,2025-05-13 04:04:00,location,periodic,,899.999,0.0,off,,,,"{""distance"":0,""accuracy"":899.999,""timestamp"":1747098263221,""altitude"":""d8c138f2-5346-4c07-b528-c5c0dbbb8e9f"",""latitude"":""97947ea8-7ff4-40d0-9bdf-4e6714efbbc5"",""longitude"":""1593f591-c3a2-4f00-92a7-1e9fc136a8e1"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":2691286903221294,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":0,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-13
681,2025-05-13 04:06:00,location,periodic,,100.0,0.0,off,,,,"{""distance"":0,""accuracy"":100,""timestamp"":1747098403522,""altitude"":""ae97b8de-e56b-45e1-a00b-cd323f8aab32"",""latitude"":""af1ab569-ab06-48c6-a5df-4722eba03a93"",""longitude"":""b9208ee7-591e-41fa-aca3-13556ed95540"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":149706460067307,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-13
678,2025-05-13 04:08:00,location,periodic,,100.0,5.151962,off,,,,"{""distance"":5.151962,""accuracy"":100,""timestamp"":1747098488716,""altitude"":""cbb026c5-7d0c-4552-85ae-b904fda8d2f0"",""latitude"":""21c31d9d-59d5-49a9-8a27-6bfff6bf7ebd"",""longitude"":""abe1d5f1-3aff-4db1-b724-0b91e006ffd8"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":125792167825129,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-13
686,2025-05-13 04:09:00,location,periodic,,12.533,2.0144267,off,,,,"{""distance"":2.0144267,""accuracy"":12.533,""timestamp"":1747098540313,""altitude"":""1a32f302-5ed8-4546-8b0b-d759a731ad67"",""latitude"":""b14f30bb-7616-4175-a0f1-16118c2a91d3"",""longitude"":""98391759-7b5f-4055-88ef-e7eaa17389de"",""bearing"":0,""bearingAccuracyDegrees"":45,""elapsedRealtimeNanos"":64195914000000,""speed"":0,""speedAccuracyMetersPerSecond"":1.5,""verticalAccuracyMeters"":1,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-13
685,2025-05-13 04:09:00,location,periodic,,1.7,3.3022459,off,,,,"{""distance"":3.3022459,""accuracy"":1.7,""timestamp"":1747098580559,""altitude"":""24885603-5d65-49e9-bcd4-c257ad839acb"",""latitude"":""7a4005c6-cb67-49da-91c4-771283b689b4"",""longitude"":""e98b5324-3097-4f2f-8c46-0ce4ee9ababe"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":41586244048910,""speed"":0,""speedAccuracyMetersPerSecond"":2.1,""verticalAccuracyMeters"":16.5,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-13
687,2025-05-13 04:11:00,location,periodic,,100.0,0.0,off,,,,"{""distance"":0,""accuracy"":100,""timestamp"":1747098671719,""altitude"":""98a5ff8e-ce9e-4f6d-8f8d-b54042e68419"",""latitude"":""fd463b0b-14d2-44ad-b60d-a2922dc5b80e"",""longitude"":""572088e5-356c-4c3e-9389-06a7e4af932a"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":295744932870781,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-13
676,2025-05-13 04:12:00,location,periodic,,100.0,0.0,off,,,,"{""distance"":0,""accuracy"":100,""timestamp"":1747098753026,""altitude"":""653c51ea-4ef9-4ec8-bc7a-356aada287cc"",""latitude"":""68f0ebfe-490d-4fe8-ba25-b36ecdb6c833"",""longitude"":""00d25cbc-e79f-47c9-b7bc-82689cbf8302"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":1932737052935767,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-13
670,2025-05-13 04:13:00,location,periodic,,100.0,4.4469194,off,,,,"{""distance"":4.4469194,""accuracy"":100,""timestamp"":1747098811558,""altitude"":""09215762-57f6-444b-8172-9a915d2a6d2f"",""latitude"":""618fadbe-7753-4d24-acc3-65143b011e76"",""longitude"":""d65d5597-1b83-4e36-95c6-db3555472373"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":1890120433605710,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":59.795193,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-13
671,2025-05-13 04:14:00,location,periodic,,100.0,0.0,off,,,,"{""distance"":0,""accuracy"":100,""timestamp"":1747098899716,""altitude"":""2344171c-f639-4b82-b350-1bcb476cbc1f"",""latitude"":""c3f23606-1066-4d3a-9efe-f8f5ed4c59ce"",""longitude"":""b6bad8d4-4c28-4920-8b24-20c59cb6aa96"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":1512347557215066,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-13
668,2025-05-13 04:19:00,location,periodic,,899.999,0.0,off,,,,"{""distance"":0,""accuracy"":899.999,""timestamp"":1747099163228,""altitude"":""d8c138f2-5346-4c07-b528-c5c0dbbb8e9f"",""latitude"":""97947ea8-7ff4-40d0-9bdf-4e6714efbbc5"",""longitude"":""1593f591-c3a2-4f00-92a7-1e9fc136a8e1"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":2692186910223287,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":0,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-13
681,2025-05-13 04:21:00,location,periodic,,100.0,0.0,off,,,,"{""distance"":0,""accuracy"":100,""timestamp"":1747099303549,""altitude"":""ae97b8de-e56b-45e1-a00b-cd323f8aab32"",""latitude"":""af1ab569-ab06-48c6-a5df-4722eba03a93"",""longitude"":""b9208ee7-591e-41fa-aca3-13556ed95540"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":150606487174822,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-13
686,2025-05-13 04:24:00,location,periodic,,15.176,2.1263254,off,,,,"{""distance"":2.1263254,""accuracy"":15.176,""timestamp"":1747099445561,""altitude"":""1a32f302-5ed8-4546-8b0b-d759a731ad67"",""latitude"":""b14f30bb-7616-4175-a0f1-16118c2a91d3"",""longitude"":""98391759-7b5f-4055-88ef-e7eaa17389de"",""bearing"":0,""bearingAccuracyDegrees"":45,""elapsedRealtimeNanos"":65101162000000,""speed"":0,""speedAccuracyMetersPerSecond"":1.5,""verticalAccuracyMeters"":1.3502158,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-13
