uid,datetime,type,sub_type,suuid,level,value,sensor_status,x,y,z,data,date
671,2025-05-22 04:03:50,location,periodic,,100.0,0.0,off,,,,"{""distance"":0,""accuracy"":100,""timestamp"":1747875830825,""altitude"":""398d6ca6-a823-4765-92d9-482503180e5c"",""latitude"":""02074030-7048-4470-817e-372b331128bc"",""longitude"":""0f587717-c20d-4ce7-897e-dfe69e1a3c2b"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":295518975237409,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-22
681,2025-05-22 04:03:57,location,periodic,,100.0,0.0,off,,,,"{""distance"":0,""accuracy"":100,""timestamp"":1747875837772,""altitude"":""036cdc69-23ff-405a-a4cd-8ec4d27fb8b6"",""latitude"":""af1ab569-ab06-48c6-a5df-4722eba03a93"",""longitude"":""b9208ee7-591e-41fa-aca3-13556ed95540"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":149705457390230,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-22
670,2025-05-22 04:05:17,location,periodic,,100.0,0.0,off,,,,"{""distance"":0,""accuracy"":100,""timestamp"":1747875917095,""altitude"":""9a0286b8-5213-417d-b989-4b747f5514a3"",""latitude"":""618fadbe-7753-4d24-acc3-65143b011e76"",""longitude"":""d65d5597-1b83-4e36-95c6-db3555472373"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":2667232502393004,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-22
668,2025-05-22 04:11:02,location,periodic,,100.0,0.0,off,,,,"{""distance"":0,""accuracy"":100,""timestamp"":1747876262892,""altitude"":""76e98c5d-e68b-46fc-ae2f-6e4f7acf5ad2"",""latitude"":""0ab74404-936d-450a-ae36-ac538b4950d6"",""longitude"":""ced3cce3-179a-4707-9a37-074849697379"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":3469299033503124,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-22
678,2025-05-22 04:14:26,location,periodic,,100.0,2.762708,off,,,,"{""distance"":2.762708,""accuracy"":100,""timestamp"":1747876466652,""altitude"":""4c1cf08f-892f-418d-a830-9bad1888341e"",""latitude"":""07c4ad86-990f-4688-b4ef-7991dcf97a33"",""longitude"":""92716f1a-6682-488d-a31d-7bbd5123cfe8"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":903806901627248,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-22
681,2025-05-22 04:18:57,location,periodic,,100.0,3.110653,off,,,,"{""distance"":3.110653,""accuracy"":100,""timestamp"":1747876737786,""altitude"":""f9c36760-8c71-4b34-bf4f-bf98655a82c4"",""latitude"":""af1ab569-ab06-48c6-a5df-4722eba03a93"",""longitude"":""b9208ee7-591e-41fa-aca3-13556ed95540"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":150605471807129,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-22
671,2025-05-22 04:19:05,location,periodic,,100.0,0.0,off,,,,"{""distance"":0,""accuracy"":100,""timestamp"":1747876745061,""altitude"":""398d6ca6-a823-4765-92d9-482503180e5c"",""latitude"":""02074030-7048-4470-817e-372b331128bc"",""longitude"":""0f587717-c20d-4ce7-897e-dfe69e1a3c2b"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":296433210833146,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-22
668,2025-05-22 04:26:02,location,periodic,,100.0,0.0,off,,,,"{""distance"":0,""accuracy"":100,""timestamp"":1747877162872,""altitude"":""76e98c5d-e68b-46fc-ae2f-6e4f7acf5ad2"",""latitude"":""0ab74404-936d-450a-ae36-ac538b4950d6"",""longitude"":""ced3cce3-179a-4707-9a37-074849697379"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":3470199014919980,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-22
678,2025-05-22 04:29:28,location,periodic,,100.0,0.0,off,,,,"{""distance"":0,""accuracy"":100,""timestamp"":1747877368674,""altitude"":""4c1cf08f-892f-418d-a830-9bad1888341e"",""latitude"":""07c4ad86-990f-4688-b4ef-7991dcf97a33"",""longitude"":""92716f1a-6682-488d-a31d-7bbd5123cfe8"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":904708924133827,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-22
681,2025-05-22 04:33:57,location,periodic,,300.0,109.689964,off,,,,"{""distance"":109.689964,""accuracy"":300,""timestamp"":1747877637770,""altitude"":""f9c36760-8c71-4b34-bf4f-bf98655a82c4"",""latitude"":""47f911b7-e07f-4312-9fa1-cecc2a89ca28"",""longitude"":""8d76ab83-fa4e-44f2-9cb8-ef287ec14120"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":151505455118337,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-22
671,2025-05-22 04:34:10,location,periodic,,15.743,1.2989005,off,,,,"{""distance"":1.2989005,""accuracy"":15.743,""timestamp"":1747877650402,""altitude"":""398d6ca6-a823-4765-92d9-482503180e5c"",""latitude"":""02074030-7048-4470-817e-372b331128bc"",""longitude"":""0f587717-c20d-4ce7-897e-dfe69e1a3c2b"",""bearing"":78.44742,""bearingAccuracyDegrees"":45,""elapsedRealtimeNanos"":297338551000000,""speed"":0.10437175,""speedAccuracyMetersPerSecond"":1.5,""verticalAccuracyMeters"":1.8817086,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-22
668,2025-05-22 04:41:02,location,periodic,,100.0,0.0,off,,,,"{""distance"":0,""accuracy"":100,""timestamp"":1747878062875,""altitude"":""76e98c5d-e68b-46fc-ae2f-6e4f7acf5ad2"",""latitude"":""0ab74404-936d-450a-ae36-ac538b4950d6"",""longitude"":""ced3cce3-179a-4707-9a37-074849697379"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":3471099016896067,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-22
681,2025-05-22 04:48:57,location,periodic,,300.0,0.0,off,,,,"{""distance"":0,""accuracy"":300,""timestamp"":1747878537799,""altitude"":""f9c36760-8c71-4b34-bf4f-bf98655a82c4"",""latitude"":""47f911b7-e07f-4312-9fa1-cecc2a89ca28"",""longitude"":""8d76ab83-fa4e-44f2-9cb8-ef287ec14120"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":152405484664775,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-22
668,2025-05-22 04:56:02,location,periodic,,100.0,0.0,off,,,,"{""distance"":0,""accuracy"":100,""timestamp"":1747878962870,""altitude"":""76e98c5d-e68b-46fc-ae2f-6e4f7acf5ad2"",""latitude"":""0ab74404-936d-450a-ae36-ac538b4950d6"",""longitude"":""ced3cce3-179a-4707-9a37-074849697379"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":3471999012054808,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-22
678,2025-05-22 05:00:03,location,periodic,,100.0,0.0,off,,,,"{""distance"":0,""accuracy"":100,""timestamp"":1747879203317,""altitude"":""4c1cf08f-892f-418d-a830-9bad1888341e"",""latitude"":""07c4ad86-990f-4688-b4ef-7991dcf97a33"",""longitude"":""92716f1a-6682-488d-a31d-7bbd5123cfe8"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":906543567640515,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-22
670,2025-05-22 05:02:31,location,periodic,,100.0,2.3125553,off,,,,"{""distance"":2.3125553,""accuracy"":100,""timestamp"":1747879351343,""altitude"":""9a0286b8-5213-417d-b989-4b747f5514a3"",""latitude"":""618fadbe-7753-4d24-acc3-65143b011e76"",""longitude"":""d65d5597-1b83-4e36-95c6-db3555472373"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":2670666749154926,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-22
681,2025-05-22 05:03:57,location,periodic,,300.0,0.0,off,,,,"{""distance"":0,""accuracy"":300,""timestamp"":1747879437803,""altitude"":""f9c36760-8c71-4b34-bf4f-bf98655a82c4"",""latitude"":""47f911b7-e07f-4312-9fa1-cecc2a89ca28"",""longitude"":""8d76ab83-fa4e-44f2-9cb8-ef287ec14120"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":153305488312829,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-22
671,2025-05-22 05:07:26,location,periodic,,100.0,0.0,off,,,,"{""distance"":0,""accuracy"":100,""timestamp"":1747879646448,""altitude"":""398d6ca6-a823-4765-92d9-482503180e5c"",""latitude"":""02074030-7048-4470-817e-372b331128bc"",""longitude"":""0f587717-c20d-4ce7-897e-dfe69e1a3c2b"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":299334598207256,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-22
668,2025-05-22 05:12:09,location,periodic,,100.0,0.0,off,,,,"{""distance"":0,""accuracy"":100,""timestamp"":1747879929855,""altitude"":""76e98c5d-e68b-46fc-ae2f-6e4f7acf5ad2"",""latitude"":""0ab74404-936d-450a-ae36-ac538b4950d6"",""longitude"":""ced3cce3-179a-4707-9a37-074849697379"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":3472965996409855,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-22
678,2025-05-22 05:15:04,location,periodic,,100.0,0.73239565,off,,,,"{""distance"":0.73239565,""accuracy"":100,""timestamp"":1747880104298,""altitude"":""4c1cf08f-892f-418d-a830-9bad1888341e"",""latitude"":""07c4ad86-990f-4688-b4ef-7991dcf97a33"",""longitude"":""92716f1a-6682-488d-a31d-7bbd5123cfe8"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":907444547159978,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-22
681,2025-05-22 05:18:57,location,periodic,,300.0,0.0,off,,,,"{""distance"":0,""accuracy"":300,""timestamp"":1747880337834,""altitude"":""f9c36760-8c71-4b34-bf4f-bf98655a82c4"",""latitude"":""47f911b7-e07f-4312-9fa1-cecc2a89ca28"",""longitude"":""8d76ab83-fa4e-44f2-9cb8-ef287ec14120"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":154205519140575,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-22
671,2025-05-22 05:22:29,location,periodic,,100.0,0.0,off,,,,"{""distance"":0,""accuracy"":100,""timestamp"":1747880549697,""altitude"":""398d6ca6-a823-4765-92d9-482503180e5c"",""latitude"":""02074030-7048-4470-817e-372b331128bc"",""longitude"":""0f587717-c20d-4ce7-897e-dfe69e1a3c2b"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":300237847828995,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-22
678,2025-05-22 05:30:05,location,periodic,,100.0,0.0,off,,,,"{""distance"":0,""accuracy"":100,""timestamp"":1747881005277,""altitude"":""4c1cf08f-892f-418d-a830-9bad1888341e"",""latitude"":""07c4ad86-990f-4688-b4ef-7991dcf97a33"",""longitude"":""92716f1a-6682-488d-a31d-7bbd5123cfe8"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":908345527703103,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-22
668,2025-05-22 05:31:39,location,periodic,,100.0,0.0,off,,,,"{""distance"":0,""accuracy"":100,""timestamp"":1747881099816,""altitude"":""76e98c5d-e68b-46fc-ae2f-6e4f7acf5ad2"",""latitude"":""0ab74404-936d-450a-ae36-ac538b4950d6"",""longitude"":""ced3cce3-179a-4707-9a37-074849697379"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":3474135958239740,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-22
681,2025-05-22 05:33:57,location,periodic,,300.0,0.0,off,,,,"{""distance"":0,""accuracy"":300,""timestamp"":1747881237870,""altitude"":""f9c36760-8c71-4b34-bf4f-bf98655a82c4"",""latitude"":""47f911b7-e07f-4312-9fa1-cecc2a89ca28"",""longitude"":""8d76ab83-fa4e-44f2-9cb8-ef287ec14120"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":155105554683782,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-22
671,2025-05-22 05:38:01,location,periodic,,100.0,4.384988,off,,,,"{""distance"":4.384988,""accuracy"":100,""timestamp"":1747881481858,""altitude"":""398d6ca6-a823-4765-92d9-482503180e5c"",""latitude"":""02074030-7048-4470-817e-372b331128bc"",""longitude"":""0f587717-c20d-4ce7-897e-dfe69e1a3c2b"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":301170008951514,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-22
681,2025-05-22 05:48:57,location,periodic,,300.0,0.0,off,,,,"{""distance"":0,""accuracy"":300,""timestamp"":1747882137850,""altitude"":""f9c36760-8c71-4b34-bf4f-bf98655a82c4"",""latitude"":""47f911b7-e07f-4312-9fa1-cecc2a89ca28"",""longitude"":""8d76ab83-fa4e-44f2-9cb8-ef287ec14120"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":156005535163144,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-22
678,2025-05-22 05:49:07,location,periodic,,100.0,0.88939595,off,,,,"{""distance"":0.88939595,""accuracy"":100,""timestamp"":1747882147041,""altitude"":""4c1cf08f-892f-418d-a830-9bad1888341e"",""latitude"":""07c4ad86-990f-4688-b4ef-7991dcf97a33"",""longitude"":""92716f1a-6682-488d-a31d-7bbd5123cfe8"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":909487290789927,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-22
670,2025-05-22 05:49:12,location,periodic,,100.0,0.0,off,,,,"{""distance"":0,""accuracy"":100,""timestamp"":1747882152102,""altitude"":""9a0286b8-5213-417d-b989-4b747f5514a3"",""latitude"":""618fadbe-7753-4d24-acc3-65143b011e76"",""longitude"":""d65d5597-1b83-4e36-95c6-db3555472373"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":2673467509936004,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-22
668,2025-05-22 05:52:41,location,periodic,,100.0,0.0,off,,,,"{""distance"":0,""accuracy"":100,""timestamp"":1747882361688,""altitude"":""76e98c5d-e68b-46fc-ae2f-6e4f7acf5ad2"",""latitude"":""0ab74404-936d-450a-ae36-ac538b4950d6"",""longitude"":""ced3cce3-179a-4707-9a37-074849697379"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":3475397829332163,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-22
671,2025-05-22 05:53:35,location,periodic,,100.0,0.0,off,,,,"{""distance"":0,""accuracy"":100,""timestamp"":1747882415070,""altitude"":""398d6ca6-a823-4765-92d9-482503180e5c"",""latitude"":""02074030-7048-4470-817e-372b331128bc"",""longitude"":""0f587717-c20d-4ce7-897e-dfe69e1a3c2b"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":302103220556213,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-22
681,2025-05-22 06:03:57,location,periodic,,300.0,0.0,off,,,,"{""distance"":0,""accuracy"":300,""timestamp"":1747883037863,""altitude"":""f9c36760-8c71-4b34-bf4f-bf98655a82c4"",""latitude"":""47f911b7-e07f-4312-9fa1-cecc2a89ca28"",""longitude"":""8d76ab83-fa4e-44f2-9cb8-ef287ec14120"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":156905548396120,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-22
678,2025-05-22 06:03:58,location,periodic,,12.3,1.0838679,off,,,,"{""distance"":1.0838679,""accuracy"":12.3,""timestamp"":1747883038510,""altitude"":""4c1cf08f-892f-418d-a830-9bad1888341e"",""latitude"":""07c4ad86-990f-4688-b4ef-7991dcf97a33"",""longitude"":""92716f1a-6682-488d-a31d-7bbd5123cfe8"",""bearing"":0,""bearingAccuracyDegrees"":45,""elapsedRealtimeNanos"":910380596000000,""speed"":0,""speedAccuracyMetersPerSecond"":1.5,""verticalAccuracyMeters"":1.0451331,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-22
670,2025-05-22 06:04:36,location,periodic,,100.0,1.0762807,off,,,,"{""distance"":1.0762807,""accuracy"":100,""timestamp"":1747883076631,""altitude"":""cbf18833-d19c-4f26-a0e8-3aed5451cbf2"",""latitude"":""618fadbe-7753-4d24-acc3-65143b011e76"",""longitude"":""d65d5597-1b83-4e36-95c6-db3555472373"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":2674392037565079,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":100,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-22
668,2025-05-22 06:08:12,location,periodic,,100.0,0.39884937,off,,,,"{""distance"":0.39884937,""accuracy"":100,""timestamp"":1747883292191,""altitude"":""76e98c5d-e68b-46fc-ae2f-6e4f7acf5ad2"",""latitude"":""0ab74404-936d-450a-ae36-ac538b4950d6"",""longitude"":""ced3cce3-179a-4707-9a37-074849697379"",""bearing"":0,""bearingAccuracyDegrees"":0,""elapsedRealtimeNanos"":3476328332490469,""speed"":0,""speedAccuracyMetersPerSecond"":0,""verticalAccuracyMeters"":35.65982,""provider"":""fused"",""sub_type"":""periodic""}",2025-05-22
