uid,datetime,type,value
678,2025-04-26 10:00:00,screen,on
678,2025-04-26 10:00:00,screen,off
678,2025-04-26 10:00:00,screen,on
678,2025-04-26 10:08:00,screen,off
678,2025-04-26 10:10:00,screen,on
678,2025-04-26 10:10:00,screen,off
678,2025-04-26 10:11:00,screen,on
678,2025-04-26 10:13:00,screen,off
678,2025-04-26 10:13:00,screen,on
678,2025-04-26 10:13:00,screen,off
678,2025-04-26 10:35:00,screen,on
678,2025-04-26 10:47:00,screen,off
678,2025-04-26 10:50:00,screen,on
678,2025-04-26 10:52:00,screen,off
678,2025-04-26 10:56:00,screen,on
678,2025-04-26 10:56:00,screen,off
671,2025-04-26 11:07:00,screen,on
671,2025-04-26 11:17:00,screen,off
671,2025-04-26 11:17:00,screen,on
671,2025-04-26 11:18:00,screen,off
671,2025-04-26 11:19:00,screen,on
671,2025-04-26 11:19:00,screen,off
678,2025-04-26 11:19:00,screen,on
671,2025-04-26 11:21:00,screen,on
671,2025-04-26 11:22:00,screen,off
678,2025-04-26 11:28:00,screen,off
678,2025-04-26 11:28:00,screen,on
671,2025-04-26 11:30:00,screen,on
671,2025-04-26 11:30:00,screen,off
671,2025-04-26 11:33:00,screen,on
671,2025-04-26 11:36:00,screen,off
678,2025-04-26 11:37:00,screen,off
678,2025-04-26 11:38:00,screen,on
678,2025-04-26 11:38:00,screen,off
671,2025-04-26 11:39:00,screen,on
678,2025-04-26 11:40:00,screen,on
671,2025-04-26 11:40:00,screen,off
678,2025-04-26 11:41:00,screen,off
671,2025-04-26 11:44:00,screen,on
671,2025-04-26 11:44:00,screen,off
671,2025-04-26 11:47:00,screen,on
671,2025-04-26 11:49:00,screen,off
671,2025-04-26 11:49:00,screen,on
671,2025-04-26 11:49:00,screen,off
671,2025-04-26 11:52:00,screen,on
671,2025-04-26 11:52:00,screen,off
678,2025-04-26 11:58:00,screen,on
678,2025-04-26 11:58:00,screen,off
671,2025-04-26 11:58:00,screen,on
