uid,datetime,type,value
668,2025-05-22 04:01:18,screen,on
668,2025-05-22 04:01:20,screen,off
668,2025-05-22 04:01:22,screen,on
668,2025-05-22 04:01:27,screen,off
668,2025-05-22 04:01:36,screen,on
668,2025-05-22 04:05:33,screen,off
668,2025-05-22 04:11:05,screen,on
668,2025-05-22 04:11:10,screen,off
668,2025-05-22 04:11:11,screen,on
668,2025-05-22 04:56:26,screen,off
668,2025-05-22 04:56:30,screen,on
668,2025-05-22 04:56:32,screen,off
670,2025-05-22 05:59:52,screen,on
670,2025-05-22 05:59:56,screen,off
670,2025-05-22 06:20:01,screen,on
670,2025-05-22 06:21:56,screen,off
670,2025-05-22 06:24:41,screen,on
670,2025-05-22 06:40:20,screen,off
670,2025-05-22 06:41:17,screen,on
670,2025-05-22 06:41:26,screen,off
670,2025-05-22 06:50:16,screen,on
670,2025-05-22 06:51:10,screen,off
670,2025-05-22 06:51:20,screen,on
670,2025-05-22 06:51:31,screen,off
670,2025-05-22 06:51:44,screen,on
670,2025-05-22 06:52:05,screen,off
670,2025-05-22 06:57:04,screen,on
678,2025-05-22 07:00:01,screen,on
678,2025-05-22 07:00:18,screen,off
670,2025-05-22 07:00:24,screen,off
670,2025-05-22 07:01:00,screen,on
670,2025-05-22 07:01:02,screen,off
670,2025-05-22 07:01:02,screen,on
670,2025-05-22 07:01:16,screen,off
678,2025-05-22 07:05:01,screen,on
678,2025-05-22 07:05:14,screen,off
670,2025-05-22 07:05:40,screen,on
670,2025-05-22 07:05:45,screen,off
670,2025-05-22 07:08:22,screen,on
670,2025-05-22 07:08:31,screen,off
678,2025-05-22 07:09:25,screen,on
670,2025-05-22 07:12:33,screen,on
670,2025-05-22 07:12:39,screen,off
670,2025-05-22 07:13:47,screen,on
670,2025-05-22 07:14:07,screen,on
670,2025-05-22 07:14:07,screen,off
670,2025-05-22 07:14:09,screen,on
670,2025-05-22 07:14:09,screen,off
670,2025-05-22 07:14:11,screen,on
670,2025-05-22 07:14:56,screen,off
670,2025-05-22 07:15:01,screen,on
670,2025-05-22 07:15:44,screen,off
678,2025-05-22 07:16:28,screen,off
670,2025-05-22 07:16:36,screen,on
670,2025-05-22 07:16:39,screen,off
670,2025-05-22 07:17:41,screen,on
670,2025-05-22 07:17:54,screen,off
670,2025-05-22 07:19:52,screen,on
670,2025-05-22 07:19:59,screen,off
670,2025-05-22 07:21:30,screen,on
670,2025-05-22 07:21:35,screen,off
670,2025-05-22 07:22:37,screen,on
670,2025-05-22 07:22:52,screen,off
670,2025-05-22 07:22:55,screen,on
670,2025-05-22 07:22:57,screen,off
670,2025-05-22 07:24:38,screen,on
670,2025-05-22 07:24:40,screen,off
670,2025-05-22 07:25:23,screen,on
670,2025-05-22 07:25:25,screen,off
678,2025-05-22 07:25:57,screen,on
678,2025-05-22 07:26:01,screen,off
670,2025-05-22 07:26:41,screen,on
670,2025-05-22 07:27:19,screen,off
670,2025-05-22 07:29:18,screen,on
670,2025-05-22 07:29:20,screen,off
670,2025-05-22 07:29:54,screen,on
678,2025-05-22 07:30:14,screen,on
678,2025-05-22 07:30:19,screen,off
670,2025-05-22 07:30:20,screen,off
670,2025-05-22 07:30:36,screen,on
670,2025-05-22 07:30:47,screen,off
670,2025-05-22 07:30:58,screen,on
670,2025-05-22 07:31:06,screen,off
670,2025-05-22 07:34:19,screen,on
687,2025-05-22 07:34:59,screen,on
681,2025-05-22 07:37:40,screen,on
681,2025-05-22 07:37:44,screen,off
678,2025-05-22 07:38:03,screen,on
678,2025-05-22 07:38:21,screen,off
687,2025-05-22 07:38:58,screen,on
687,2025-05-22 07:38:58,screen,off
670,2025-05-22 07:39:03,screen,off
678,2025-05-22 07:39:06,screen,on
670,2025-05-22 07:39:10,screen,on
678,2025-05-22 07:39:12,screen,off
678,2025-05-22 07:39:14,screen,on
670,2025-05-22 07:39:19,screen,off
670,2025-05-22 07:39:28,screen,on
670,2025-05-22 07:40:04,screen,off
687,2025-05-22 07:40:22,screen,off
670,2025-05-22 07:41:15,screen,on
670,2025-05-22 07:41:21,screen,off
670,2025-05-22 07:43:09,screen,on
671,2025-05-22 07:45:00,screen,on
671,2025-05-22 07:45:30,screen,off
687,2025-05-22 07:47:10,screen,on
671,2025-05-22 07:50:00,screen,on
678,2025-05-22 07:50:30,screen,off
678,2025-05-22 07:50:43,screen,on
678,2025-05-22 07:51:48,screen,off
678,2025-05-22 07:53:53,screen,on
678,2025-05-22 07:53:58,screen,off
678,2025-05-22 07:54:45,screen,on
678,2025-05-22 07:54:52,screen,off
678,2025-05-22 07:55:42,screen,on
678,2025-05-22 07:56:22,screen,off
678,2025-05-22 07:56:38,screen,on
678,2025-05-22 07:56:57,screen,off
678,2025-05-22 07:58:48,screen,on
678,2025-05-22 07:58:55,screen,off
678,2025-05-22 07:59:34,screen,on
678,2025-05-22 07:59:40,screen,off
678,2025-05-22 07:59:40,screen,on
678,2025-05-22 07:59:54,screen,off
687,2025-05-22 08:03:25,screen,off
687,2025-05-22 08:04:25,screen,on
687,2025-05-22 08:04:26,screen,off
687,2025-05-22 08:04:27,screen,on
687,2025-05-22 08:04:29,screen,off
670,2025-05-22 08:04:41,screen,off
687,2025-05-22 08:04:47,screen,on
687,2025-05-22 08:04:50,screen,off
670,2025-05-22 08:08:17,screen,on
670,2025-05-22 08:08:46,screen,off
687,2025-05-22 08:09:02,screen,on
687,2025-05-22 08:09:06,screen,off
687,2025-05-22 08:09:33,screen,on
687,2025-05-22 08:09:35,screen,off
687,2025-05-22 08:10:18,screen,on
687,2025-05-22 08:10:20,screen,off
687,2025-05-22 08:10:57,screen,on
670,2025-05-22 08:11:05,screen,on
670,2025-05-22 08:11:34,screen,off
687,2025-05-22 08:11:47,screen,off
670,2025-05-22 08:12:08,screen,on
687,2025-05-22 08:12:11,screen,on
687,2025-05-22 08:12:13,screen,off
670,2025-05-22 08:12:18,screen,off
671,2025-05-22 08:13:11,screen,off
670,2025-05-22 08:15:36,screen,on
670,2025-05-22 08:15:49,screen,off
687,2025-05-22 08:15:57,screen,on
687,2025-05-22 08:15:59,screen,off
687,2025-05-22 08:16:57,screen,on
687,2025-05-22 08:17:11,screen,off
670,2025-05-22 08:17:13,screen,on
670,2025-05-22 08:17:22,screen,off
687,2025-05-22 08:17:38,screen,on
671,2025-05-22 08:18:07,screen,on
687,2025-05-22 08:18:32,screen,off
671,2025-05-22 08:18:36,screen,off
671,2025-05-22 08:20:05,screen,on
670,2025-05-22 08:20:07,screen,on
671,2025-05-22 08:20:09,screen,off
671,2025-05-22 08:20:17,screen,on
671,2025-05-22 08:20:45,screen,off
687,2025-05-22 08:20:55,screen,on
670,2025-05-22 08:21:36,screen,off
670,2025-05-22 08:21:43,screen,on
670,2025-05-22 08:21:44,screen,off
670,2025-05-22 08:22:01,screen,on
670,2025-05-22 08:23:08,screen,off
670,2025-05-22 08:23:18,screen,on
670,2025-05-22 08:23:36,screen,off
670,2025-05-22 08:23:39,screen,on
670,2025-05-22 08:23:42,screen,off
670,2025-05-22 08:23:48,screen,on
670,2025-05-22 08:23:53,screen,off
670,2025-05-22 08:24:20,screen,on
670,2025-05-22 08:24:33,screen,off
687,2025-05-22 08:24:58,screen,off
671,2025-05-22 08:25:41,screen,on
