uid,date,reported_sleep,estimated_sleep,diff_sleep_hours,reported_wake,estimated_wake,diff_wake_hours
670,2025-04-28,2025-04-27 22:00:00,2025-04-27 22:20:00,0.33,2025-04-28 06:05:00,2025-04-28 05:00:00,1.08
676,2025-04-28,2025-04-28 00:29:00,2025-04-28 00:30:00,0.02,2025-04-28 07:29:00,2025-04-28 07:15:00,0.23
681,2025-04-28,2025-04-28 00:57:00,2025-04-28 01:10:00,0.22,2025-04-28 07:30:00,2025-04-28 07:30:00,0.0
671,2025-04-28,2025-04-28 03:55:00,2025-04-28 03:55:00,0.0,2025-04-28 07:55:00,2025-04-28 07:55:00,0.0
678,2025-04-28,2025-04-27 23:30:00,2025-04-27 23:35:00,0.08,2025-04-28 07:00:00,2025-04-28 07:00:00,0.0
685,2025-04-28,2025-04-28 00:30:00,2025-04-28 01:05:00,0.58,2025-04-28 08:30:00,2025-04-28 06:55:00,1.58
686,2025-04-28,2025-04-28 00:00:00,2025-04-28 02:15:00,2.25,2025-04-28 09:29:00,2025-04-28 09:20:00,0.15
668,2025-04-28,2025-04-28 00:27:00,2025-04-28 04:45:00,4.3,2025-04-28 10:00:00,2025-04-28 10:10:00,0.17
670,2025-04-29,2025-04-28 22:15:00,2025-04-28 22:35:00,0.33,2025-04-29 05:00:00,2025-04-29 05:15:00,0.25
681,2025-04-29,2025-04-29 01:25:00,2025-04-29 01:30:00,0.08,2025-04-29 06:50:00,2025-04-29 06:45:00,0.08
678,2025-04-29,2025-04-28 23:30:00,2025-04-28 23:45:00,0.25,2025-04-29 06:45:00,2025-04-29 06:45:00,0.0
687,2025-04-29,2025-04-29 00:50:00,2025-04-29 01:50:00,1.0,2025-04-29 07:40:00,2025-04-29 07:50:00,0.17
676,2025-04-29,2025-04-29 01:43:00,2025-04-29 01:45:00,0.03,2025-04-29 08:45:00,2025-04-29 08:50:00,0.08
685,2025-04-29,2025-04-29 01:40:00,2025-04-29 02:10:00,0.5,2025-04-29 09:30:00,2025-04-29 07:20:00,2.17
671,2025-04-29,2025-04-29 01:00:00,2025-04-29 00:55:00,0.08,2025-04-29 09:35:00,2025-04-29 09:40:00,0.08
686,2025-04-29,2025-04-29 01:43:00,2025-04-29 01:45:00,0.03,2025-04-29 10:00:00,2025-04-29 10:05:00,0.08
668,2025-04-29,2025-04-29 00:43:00,2025-04-29 05:15:00,4.53,2025-04-29 10:25:00,2025-04-29 10:25:00,0.0
670,2025-04-30,2025-04-29 21:45:00,2025-04-30 00:20:00,2.58,2025-04-30 06:00:00,2025-04-30 06:00:00,0.0
678,2025-04-30,2025-04-30 00:10:00,2025-04-29 23:30:00,0.67,2025-04-30 06:50:00,2025-04-30 06:45:00,0.08
687,2025-04-30,2025-04-30 00:10:00,2025-04-30 05:55:00,5.75,2025-04-30 07:58:00,2025-04-30 07:50:00,0.13
685,2025-04-30,2025-04-30 02:00:00,2025-04-30 01:50:00,0.17,2025-04-30 09:00:00,2025-04-30 07:00:00,2.0
668,2025-04-30,2025-04-30 00:48:00,2025-04-30 04:55:00,4.12,2025-04-30 09:30:00,2025-04-30 09:35:00,0.08
676,2025-04-30,2025-04-30 02:30:00,2025-04-30 02:40:00,0.17,2025-04-30 09:28:00,2025-04-30 09:40:00,0.2
686,2025-04-30,2025-04-30 01:42:00,2025-04-30 01:55:00,0.22,2025-04-30 10:09:00,2025-04-30 09:55:00,0.23
681,2025-04-30,2025-04-30 03:56:00,2025-04-30 04:10:00,0.23,2025-04-30 11:12:00,2025-04-30 11:00:00,0.2
671,2025-04-30,2025-04-30 04:00:00,2025-04-30 03:25:00,0.58,2025-04-30 11:50:00,2025-04-30 12:00:00,0.17
670,2025-05-01,2025-04-30 23:30:00,2025-04-30 22:30:00,1.0,2025-05-01 08:15:00,2025-05-01 04:15:00,4.0
676,2025-05-01,2025-05-01 03:04:00,2025-05-01 03:00:00,0.07,2025-05-01 09:39:00,2025-05-01 09:15:00,0.4
668,2025-05-01,2025-05-01 00:50:00,2025-05-01 05:05:00,4.25,2025-05-01 09:46:00,2025-05-01 09:30:00,0.27
687,2025-05-01,2025-05-01 02:30:00,2025-05-01 02:40:00,0.17,2025-05-01 09:58:00,2025-05-01 09:35:00,0.38
671,2025-05-01,2025-05-01 04:00:00,2025-05-01 04:15:00,0.25,2025-05-01 11:00:00,2025-05-01 11:00:00,0.0
