uid,date,reported_sleep,estimated_sleep,diff_sleep_hours,reported_wake,estimated_wake,diff_wake_hours
676,2025-05-14,2025-05-14 01:17:00,2025-05-14 01:10:00,0.12,2025-05-14 08:36:00,2025-05-14 08:35:00,0.02
686,2025-05-14,2025-05-13 23:30:00,2025-05-13 23:20:00,0.17,2025-05-14 09:00:00,2025-05-14 08:50:00,0.17
670,2025-05-15,2025-05-14 22:45:00,2025-05-14 22:55:00,0.17,2025-05-15 06:00:00,2025-05-15 05:25:00,0.58
681,2025-05-15,2025-05-15 00:17:00,2025-05-15 00:25:00,0.13,2025-05-15 07:30:00,2025-05-15 06:50:00,0.67
678,2025-05-15,2025-05-14 23:30:00,2025-05-15 06:40:00,7.17,2025-05-15 06:30:00,2025-05-15 07:45:00,1.25
676,2025-05-15,2025-05-15 01:11:00,2025-05-15 00:50:00,0.35,2025-05-15 08:05:00,2025-05-15 07:45:00,0.33
671,2025-05-15,2025-05-15 01:35:00,2025-05-15 01:50:00,0.25,2025-05-15 07:50:00,2025-05-15 07:15:00,0.58
687,2025-05-15,2025-05-15 00:30:00,2025-05-15 06:20:00,5.83,2025-05-15 07:20:00,2025-05-15 07:30:00,0.17
668,2025-05-15,2025-05-15 00:02:00,2025-05-15 00:10:00,0.13,2025-05-15 09:31:00,2025-05-15 03:45:00,5.77
685,2025-05-15,2025-05-15 01:10:00,2025-05-15 02:00:00,0.83,2025-05-15 09:30:00,2025-05-15 09:35:00,0.08
670,2025-05-16,2025-05-15 22:45:00,2025-05-15 22:50:00,0.08,2025-05-16 05:00:00,2025-05-16 04:05:00,0.92
685,2025-05-16,2025-05-16 01:30:00,2025-05-16 01:40:00,0.17,2025-05-16 09:00:00,2025-05-16 06:55:00,2.08
676,2025-05-16,2025-05-16 01:46:00,2025-05-16 01:50:00,0.07,2025-05-16 10:13:00,2025-05-16 10:05:00,0.13
668,2025-05-16,2025-05-16 01:18:00,2025-05-16 04:25:00,3.12,2025-05-16 10:16:00,2025-05-16 10:05:00,0.18
687,2025-05-16,2025-05-16 01:30:00,2025-05-16 07:50:00,6.33,2025-05-16 09:30:00,2025-05-16 09:30:00,0.0
678,2025-05-16,2025-05-16 00:00:00,2025-05-15 23:55:00,0.08,2025-05-16 10:30:00,2025-05-16 06:35:00,3.92
681,2025-05-16,2025-05-16 00:30:00,2025-05-16 01:20:00,0.83,2025-05-16 09:15:00,2025-05-16 09:00:00,0.25
670,2025-05-17,2025-05-16 22:00:00,2025-05-16 22:10:00,0.17,2025-05-17 06:00:00,2025-05-17 05:55:00,0.08
687,2025-05-17,2025-05-17 01:00:00,2025-05-17 06:20:00,5.33,2025-05-17 07:32:00,2025-05-17 07:50:00,0.3
678,2025-05-17,2025-05-17 02:20:00,2025-05-17 02:20:00,0.0,2025-05-17 08:20:00,2025-05-17 06:00:00,2.33
668,2025-05-17,2025-05-17 00:32:00,2025-05-17 04:30:00,3.97,2025-05-17 10:12:00,2025-05-17 10:05:00,0.12
681,2025-05-17,2025-05-17 02:40:00,2025-05-17 03:00:00,0.33,2025-05-17 10:10:00,2025-05-17 07:50:00,2.33
671,2025-05-17,2025-05-17 01:00:00,2025-05-17 03:40:00,2.67,2025-05-17 12:00:00,2025-05-17 07:40:00,4.33
685,2025-05-17,2025-05-17 04:00:00,2025-05-17 04:00:00,0.0,2025-05-17 12:00:00,2025-05-17 06:35:00,5.42
670,2025-05-18,2025-05-17 21:15:00,2025-05-17 21:40:00,0.42,2025-05-18 06:30:00,2025-05-18 03:25:00,3.08
685,2025-05-18,2025-05-17 23:40:00,2025-05-18 00:05:00,0.42,2025-05-18 06:50:00,2025-05-18 06:45:00,0.08
678,2025-05-18,2025-05-18 02:20:00,2025-05-18 02:20:00,0.0,2025-05-18 07:20:00,2025-05-18 06:50:00,0.5
687,2025-05-18,2025-05-18 00:00:00,2025-05-18 06:30:00,6.5,2025-05-18 08:20:00,2025-05-18 08:25:00,0.08
668,2025-05-18,2025-05-18 00:41:00,2025-05-18 04:35:00,3.9,2025-05-18 10:26:00,2025-05-18 09:05:00,1.35
671,2025-05-18,2025-05-18 02:35:00,2025-05-18 04:20:00,1.75,2025-05-18 10:00:00,2025-05-18 10:00:00,0.0
681,2025-05-18,2025-05-18 03:30:00,2025-05-18 03:35:00,0.08,2025-05-18 10:00:00,2025-05-18 09:15:00,0.75
