uid,date,reported_sleep,estimated_sleep,diff_sleep_hours,reported_wake,estimated_wake,diff_wake_hours
678,2025-05-23,2025-05-23 01:00:00,2025-05-23 00:20:00,0.67,2025-05-23 05:30:00,2025-05-23 07:20:00,1.83
670,2025-05-24,2025-05-23 22:15:00,2025-05-23 22:25:00,0.17,2025-05-24 05:00:00,2025-05-24 04:55:00,0.08
687,2025-05-24,2025-05-24 00:00:00,2025-05-24 00:10:00,0.17,2025-05-24 07:00:00,2025-05-24 07:00:00,0.0
678,2025-05-24,2025-05-24 02:00:00,2025-05-24 01:55:00,0.08,2025-05-24 08:00:00,2025-05-24 05:45:00,2.25
668,2025-05-24,2025-05-24 00:49:00,2025-05-24 04:55:00,4.1,2025-05-24 09:56:00,2025-05-24 10:05:00,0.15
685,2025-05-24,2025-05-24 01:30:00,2025-05-24 01:40:00,0.17,2025-05-24 10:15:00,2025-05-24 08:55:00,1.33
681,2025-05-24,2025-05-24 02:13:00,2025-05-24 02:15:00,0.03,2025-05-24 08:41:00,2025-05-24 08:20:00,0.35
678,2025-05-25,2025-05-25 00:40:00,2025-05-25 02:25:00,1.75,2025-05-25 06:00:00,2025-05-25 06:25:00,0.42
670,2025-05-25,2025-05-24 22:30:00,2025-05-24 22:30:00,0.0,2025-05-25 06:00:00,2025-05-25 06:00:00,0.0
685,2025-05-25,2025-05-25 01:00:00,2025-05-24 22:40:00,2.33,2025-05-25 07:30:00,2025-05-25 07:40:00,0.17
671,2025-05-25,2025-05-25 01:50:00,2025-05-25 01:30:00,0.33,2025-05-25 07:55:00,2025-05-25 07:50:00,0.08
668,2025-05-25,2025-05-25 00:24:00,2025-05-25 04:20:00,3.93,2025-05-25 08:21:00,2025-05-25 08:10:00,0.18
687,2025-05-25,2025-05-24 23:45:00,2025-05-25 05:45:00,6.0,2025-05-25 07:30:00,2025-05-25 06:50:00,0.67
681,2025-05-25,2025-05-25 01:24:00,2025-05-25 01:35:00,0.18,2025-05-25 09:00:00,2025-05-25 08:50:00,0.17
670,2025-05-26,2025-05-25 21:00:00,2025-05-25 21:05:00,0.08,2025-05-26 06:00:00,2025-05-26 03:25:00,2.58
687,2025-05-26,2025-05-25 23:55:00,2025-05-26 00:00:00,0.08,2025-05-26 06:55:00,2025-05-26 07:00:00,0.08
678,2025-05-26,2025-05-25 23:30:00,2025-05-25 23:50:00,0.33,2025-05-26 07:15:00,2025-05-26 06:20:00,0.92
681,2025-05-26,2025-05-26 01:43:00,2025-05-26 01:50:00,0.12,2025-05-26 08:00:00,2025-05-26 07:50:00,0.17
668,2025-05-26,2025-05-26 00:28:00,2025-05-26 04:20:00,3.87,2025-05-26 08:21:00,2025-05-26 08:35:00,0.23
671,2025-05-26,2025-05-26 03:05:00,2025-05-26 03:10:00,0.08,2025-05-26 08:15:00,2025-05-26 06:55:00,1.33
676,2025-05-26,2025-05-26 00:13:00,2025-05-26 00:05:00,0.13,2025-05-26 10:41:00,2025-05-26 08:20:00,2.35
686,2025-05-26,2025-05-25 23:00:00,2025-05-26 00:25:00,1.42,2025-05-26 08:00:00,2025-05-26 07:55:00,0.08
685,2025-05-26,2025-05-25 19:00:00,2025-05-26 07:40:00,12.67,2025-05-26 00:30:00,2025-05-26 11:55:00,11.42
670,2025-05-27,2025-05-26 21:30:00,2025-05-26 21:50:00,0.33,2025-05-27 06:00:00,2025-05-27 04:25:00,1.58
671,2025-05-27,2025-05-27 02:10:00,2025-05-27 05:00:00,2.83,2025-05-27 07:55:00,2025-05-27 07:45:00,0.17
676,2025-05-27,2025-05-26 23:54:00,2025-05-26 23:55:00,0.02,2025-05-27 08:51:00,2025-05-27 08:50:00,0.02
681,2025-05-27,2025-05-27 01:15:00,2025-05-27 01:30:00,0.25,2025-05-27 08:00:00,2025-05-27 08:30:00,0.5
686,2025-05-27,2025-05-27 01:00:00,2025-05-27 05:10:00,4.17,2025-05-27 08:30:00,2025-05-27 08:30:00,0.0
668,2025-05-27,2025-05-27 00:48:00,2025-05-27 04:50:00,4.03,2025-05-27 09:47:00,2025-05-27 09:40:00,0.12
685,2025-05-27,2025-05-27 00:30:00,2025-05-27 00:55:00,0.42,2025-05-27 10:30:00,2025-05-27 07:55:00,2.58
687,2025-05-27,2025-05-27 01:00:00,2025-05-27 06:50:00,5.83,2025-05-27 09:30:00,2025-05-27 09:55:00,0.42
678,2025-05-27,2025-05-26 23:30:00,2025-05-26 23:40:00,0.17,2025-05-27 06:30:00,2025-05-27 06:40:00,0.17
676,2025-05-28,2025-05-28 00:47:00,2025-05-28 00:50:00,0.05,2025-05-28 07:36:00,2025-05-28 07:25:00,0.18
685,2025-05-28,2025-05-28 00:45:00,2025-05-28 01:25:00,0.67,2025-05-28 07:00:00,2025-05-28 06:10:00,0.83
686,2025-05-28,2025-05-28 01:00:00,2025-05-28 00:15:00,0.75,2025-05-28 08:15:00,2025-05-28 08:25:00,0.17
685,2025-05-29,2025-05-28 23:00:00,2025-05-28 23:40:00,0.67,2025-05-29 05:15:00,2025-05-29 04:10:00,1.08
676,2025-05-29,2025-05-29 00:46:00,2025-05-29 00:45:00,0.02,2025-05-29 08:45:00,2025-05-29 08:05:00,0.67
686,2025-05-29,2025-05-28 23:30:00,2025-05-28 23:15:00,0.25,2025-05-29 08:30:00,2025-05-29 08:30:00,0.0
