uid,label_date,sleep_score,accel_longest_still_period,accel_movement_ratio,accel_evening_movement_ratio,accel_night_movement_ratio,accel_morning_movement_ratio,accel_mean_mag,accel_std_mag,accel_entropy,light_mean_full_window,light_max_full_window,light_entropy_full_window,light_high_duration_full_window,light_mean_day,light_max_day,light_entropy_day,light_high_duration_day,light_mean_pre_sleep,light_max_pre_sleep,light_entropy_pre_sleep,light_high_duration_pre_sleep,light_mean_sleep,light_max_sleep,light_entropy_sleep,light_high_duration_sleep,light_last_peak_time,screen_events_full_window,screen_total_duration_full_window,screen_avg_session_duration_full_window,screen_inter_event_std_full_window,screen_cluster_count_full_window,light_screen_overlap_ratio_full_window,screen_events_day,screen_total_duration_day,screen_avg_session_duration_day,screen_inter_event_std_day,screen_cluster_count_day,light_screen_overlap_ratio_day,screen_events_pre_sleep,screen_total_duration_pre_sleep,screen_avg_session_duration_pre_sleep,screen_inter_event_std_pre_sleep,screen_cluster_count_pre_sleep,light_screen_overlap_ratio_pre_sleep,screen_events_sleep,screen_total_duration_sleep,screen_avg_session_duration_sleep,screen_inter_event_std_sleep,screen_cluster_count_sleep,light_screen_overlap_ratio_sleep,screen_last_on_time,screen_first_on_time_day,screen_gap_before_sleep,wifi_scans_full_window,wifi_unique_aps_full_window,wifi_mean_signal_full_window,wifi_signal_std_full_window,wifi_dominant_ap_ratio_full_window,wifi_entropy_full_window,wifi_strong_ap_ratio_full_window,wifi_avg_num_aps_per_scan_full_window,wifi_dominant_ap_changes_full_window,wifi_scans_day,wifi_unique_aps_day,wifi_mean_signal_day,wifi_signal_std_day,wifi_dominant_ap_ratio_day,wifi_entropy_day,wifi_strong_ap_ratio_day,wifi_avg_num_aps_per_scan_day,wifi_dominant_ap_changes_day,wifi_scans_pre_sleep,wifi_unique_aps_pre_sleep,wifi_mean_signal_pre_sleep,wifi_signal_std_pre_sleep,wifi_dominant_ap_ratio_pre_sleep,wifi_entropy_pre_sleep,wifi_strong_ap_ratio_pre_sleep,wifi_avg_num_aps_per_scan_pre_sleep,wifi_dominant_ap_changes_pre_sleep,wifi_scans_sleep,wifi_unique_aps_sleep,wifi_mean_signal_sleep,wifi_signal_std_sleep,wifi_dominant_ap_ratio_sleep,wifi_entropy_sleep,wifi_strong_ap_ratio_sleep,wifi_avg_num_aps_per_scan_sleep,wifi_dominant_ap_changes_sleep,location_mobility_duration_full_window,location_immobility_duration_full_window,location_mobility_ratio_full_window,location_max_still_duration_full_window,location_num_transitions_full_window,location_avg_speed_full_window,location_mobility_duration_day,location_immobility_duration_day,location_mobility_ratio_day,location_max_still_duration_day,location_num_transitions_day,location_avg_speed_day,location_mobility_duration_pre_sleep,location_immobility_duration_pre_sleep,location_mobility_ratio_pre_sleep,location_max_still_duration_pre_sleep,location_num_transitions_pre_sleep,location_avg_speed_pre_sleep,location_mobility_duration_sleep,location_immobility_duration_sleep,location_mobility_ratio_sleep,location_max_still_duration_sleep,location_num_transitions_sleep,location_avg_speed_sleep,calls_total_full_window,calls_duration_full_window,calls_total_day,calls_duration_day,calls_total_pre_sleep,calls_duration_pre_sleep,calls_total_sleep,calls_duration_sleep,calls_num_incoming,calls_num_outgoing,calls_num_missed,calls_last_call_time,calls_first_call_next_day,circadian_screen_center,circadian_light_center,circadian_screen_misalignment,circadian_light_misalignment,screen_pre_sleep_ratio,screen_sleep_ratio,light_pre_sleep_ratio,light_sleep_ratio,screen_wind_down_slope,light_peak_hour_day,light_peak_hour_pre_sleep,light_peak_hour_sleep,accel_activity_hourly_std,circadian_disruption_score,evening_stimulation_index,digital_abstinence_before_sleep
676,2025-05-14,5,4155.0,0.5854004252303331,0.7833333333333333,0.65625,0.13744075829383887,9.408613846319692,1.3068081896802302,0.8238587755882463,88.11023594787233,392.98502,1.3935511374911465,0.3312056737588652,154.86641610955414,392.98502,1.9271191124142535,0.5949044585987261,9.579375066666666,56.97,1.4771612523536792,0.0,2.114625906741573,14.985001,1.2365983666313276,0.0,10.633333333333333,59.0,8.633333333333333,8.779661016949152,1664.187764549295,124.0,0.4067796610169492,45,7.7,10.266666666666667,564.1872271623419,97,0.5333333333333333,14,0.9333333333333333,4.0,275.89540123976184,25,0.0,0,0.0,0.0,13440.714266734487,2,0.0,7.916666666666667,9.083333333333334,0.0,1410,0,0,0,0,0,0,0,0,785,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,445,0,0,0,0,0,0,0,0,11.05,12.15,0.47629310344827586,210.0,25.0,0.04220727016833333,7.716666666666667,5.05,0.6044386422976502,60.0,18,0.02596919184096774,2.8,0.3333333333333333,0.8936170212765957,15.5,2,0.10751782222222223,0.5333333333333333,6.766666666666667,0.0730593607305936,217.0,4,0.0,7.0,0.14555555555555555,7,0.14555555555555555,0,0.0,0,0.0,3,3,0,20.616666666666667,10.5,17.395557432425655,20.83333333333332,4.6044425675743454,1.1666666666666785,0.20657276995305165,0.018779342723004695,0.12756909992912827,0.31537916371367825,161,10.633333333333333,0.9166666666666666,7.95,0,9.112694298607853,0,-1
686,2025-05-14,6,11940.0,0.15058986814712005,0.12083333333333333,0.0,0.21991701244813278,9.552238118362851,0.7927426092824605,0.5623164438646144,43.85305555555556,311.0,0.8649701943516195,0.15694444444444444,31.07159420289855,299.0,0.8808077288032914,0.10869565217391304,224.54351851851848,311.0,1.3605731236934444,0.8388888888888889,2.265204678362573,9.466666666666665,1.314114412846461,0.0,21.9,3.0,2.2666666666666666,45.333333333333336,12367.345713612116,6.0,0.3333333333333333,2,0.36666666666666664,11.0,467.14941017684197,6,0.0,1,1.9,114.0,,0,1.0,0,0.0,0.0,0.0,0,0.0,21.516666666666666,9.033333333333333,109.0,1440,0,0,0,0,0,0,0,0,690,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,570,0,0,0,0,0,0,0,0,11.95,11.933333333333334,0.5003489183531054,288.0,10.0,0.09143034744444445,10.433333333333334,0.75,0.9329359165424739,45.0,2,0.13737744999999998,1.0,2.033333333333333,0.32967032967032966,60.0,5,0.10268519425,0.5166666666666667,9.15,0.05344827586206896,342.0,3,0.0,,,0,0.0,0,0.0,0,0.0,0,0,0,-1.0,-1.0,9.129330641270888,8.833333333333625,12.870669358729112,13.166666666666375,0.18181818181818182,0.09090909090909091,0.12491325468424705,0.39555863983344897,7,19.566666666666666,21.9,23.333333333333332,0,30.902013332820886,0,-1
670,2025-05-15,7,1290.0,0.0,0.0,0.0,0.0,9.816691996545622,0.0062237024153499,1.9674966308053319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,,,,,,,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,-1.0,-1.0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,0,0.0,0,0.0,0,0.0,0,0,0,-1.0,-1.0,-1.0,4.708333333333334,-1.0,17.291666666666664,0.0,0.0,0.0,0.9883720930232558,0,-1.0,-1.0,4.0,0,26.17538759689922,0,-1
681,2025-05-15,5,2490.0,0.029239766081871343,0.0,0.0,0.09803921568627451,9.732573788529548,0.3303048499618219,0.17914909529104484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,,,,,,,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,-1.0,-1.0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0.5,2.25,0.18181818181818182,75.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,2.25,0.18181818181818182,75.0,3,0.0,,,0,0.0,0,0.0,0,0.0,0,0,0,-1.0,-1.0,-1.0,5.416666666666667,-1.0,16.583333333333332,0.0,0.0,0.0,0.9941520467836257,0,-1.0,-1.0,4.0,0,25.52485380116959,0,-1
678,2025-05-15,4,3390.0,0.0,0.0,0.0,0.0,9.797665890156587,0.028187202454069537,1.65647588262205,17.945891432981735,50.46745562130178,2.0068837359755882,0.0,0.0,0.0,0.0,0.0,24.653529392847958,50.46745562130178,2.2927708327727303,0.0,1.434782608695652,1.7826086956521738,2.299623588452904,0.0,4.0,1.0,0.1,6.0,157.87692406653153,18.0,0.0,0,0.0,0.0,0.0,0,0.0,1,0.1,6.0,84.8528137423857,6,0.0,0,0.0,0.0,170.92934828537537,12,0.0,7.75,-1.0,0.0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0.0,3.6,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.433333333333333,0.0,51.0,0,0.0,0.0,1.1666666666666667,0.0,70.0,0,0.0,,,0,0.0,0,0.0,0,0.0,0,0,0,-1.0,-1.0,6.957366049273987,5.875,15.042633950726014,16.125,0.2903225806451613,0.6774193548387096,0.7079646017699115,0.28761061946902655,-21,-1.0,4.0,7.733333333333333,0,40.817933693803376,0,-1
676,2025-05-15,5,4365.0,0.4776978417266187,0.5208333333333334,0.39375,0.25263157894736843,9.304728706226085,1.3499008446837866,0.9829942882307606,272.77425685457166,12871.98,0.15052644273932791,0.42836573074154066,464.7018456612091,12871.98,0.24188395216316277,0.7355163727959698,51.859540611111115,126.96751,2.1059677622541506,0.06111111111111111,1.38665061686747,15.0075,0.9342330117104538,0.0,15.016666666666667,48.0,6.466666666666667,8.083333333333334,478.59461848996585,134.0,0.5625,38,5.683333333333334,8.973684210526317,415.280477673718,99,0.6842105263157895,10,0.7833333333333333,4.7,278.8142961985735,35,0.1,0,0.0,0.0,0.0,0,0.0,0.8,8.6,2.0,1389,0,0,0,0,0,0,0,0,794,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,415,0,0,0,0,0,0,0,0,10.2,12.716666666666667,0.4450909090909091,208.0,25.0,0.05002841562526316,7.6,5.433333333333334,0.5831202046035805,96.0,14,0.06249986863428573,2.1,1.0333333333333334,0.6702127659574467,15.0,8,0.014960626,0.5,6.25,0.07407407407407407,234.0,3,0.015699232,2.0,0.02638888888888889,2,0.02638888888888889,0,0.0,0,0.0,0,1,1,21.216666666666665,9.133333333333333,16.340228082848803,20.174999999999997,5.659771917151197,1.8250000000000028,0.23636363636363636,0.004545454545454545,0.12949640287769784,0.29856115107913667,166,15.016666666666667,0.55,7.733333333333333,0,10.515837973397112,0,-1
671,2025-05-15,7,2940.0,0.0,0.0,0.0,0.0,9.78010850821362,0.0024591677150495083,1.7834715667356709,4.052418750837577,13.443203125,1.491102179876597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.052418750837577,13.443203125,1.491102179876597,0.0,7.25,,,,,,,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,-1.0,-1.0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0.25,2.8,0.0819672131147541,135.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.25,2.8,0.0819672131147541,135.0,2,0.0,,,0,0.0,0,0.0,0,0.0,0,0,0,-1.0,-1.0,-1.0,5.624999999999999,-1.0,16.375,0.0,0.0,0.0,0.9948979591836735,0,-1.0,-1.0,7.233333333333333,0,25.323979591836736,0,-1
687,2025-05-15,6,3165.0,0.0,0.0,0.0,0.0,9.877045731645016,0.0054394303963638795,2.0682923062182232,20.037581699346404,34.71568627450981,2.3010178276393414,0.0,0.0,0.0,0.0,0.0,24.835784313725494,34.71568627450981,2.3025850929940455,0.0,10.441176470588237,14.813725490196077,2.298489462650256,0.0,4.0,1.0,0.03333333333333333,2.0,,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,1,0.03333333333333333,2.0,,1,0.0,7.366666666666666,-1.0,0.0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0.0,3.3333333333333335,0.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.1666666666666665,0.0,144.0,0,0.0,0.0,1.1666666666666667,0.0,70.0,0,0.0,,,0,0.0,0,0.0,0,0.0,0,0,0,-1.0,-1.0,7.383333333333333,5.750000000000001,14.616666666666667,16.25,0.0,1.0,0.6635071090047393,0.33175355450236965,-2,-1.0,4.0,6.333333333333333,0,44.18420221169036,0,-1
668,2025-05-15,7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,,,,,,,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,0,0.0,0,0.0,0,0.0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,0,-2.0,0,-1
685,2025-05-15,8,2640.0,0.08928571428571429,0.0,0.0,0.1388888888888889,9.755607874495585,0.036913278005930035,1.2406728283295814,0.9746268656716418,7.0,1.2763624029445408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9746268656716418,7.0,1.2763624029445408,0.0,8.783333333333333,1.0,0.05,3.0,1619.8229451475163,10.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,1,0.05,3.0,1619.8229451475163,10,0.0,9.55,-1.0,0.0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,0,0,5.0,0.25,0.9523809523809523,15.0,2.0,0.00040405244815886913,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.0,0.25,0.9523809523809523,15.0,2,0.00040405244815886913,,,0,0.0,0,0.0,0,0.0,0,0,0,-1.0,-1.0,8.671314039474584,6.791666666666667,13.328685960525416,15.208333333333332,0.0,1.0,0.0,0.9970238095238095,-15,-1.0,-1.0,8.783333333333333,0,48.50725738909684,0,-1
