uid,label_date,sleep_score,accel_longest_still_period,accel_movement_ratio,accel_evening_movement_ratio,accel_night_movement_ratio,accel_morning_movement_ratio,accel_mean_mag,accel_std_mag,accel_entropy,light_mean_full_window,light_max_full_window,light_entropy_full_window,light_high_duration_full_window,light_mean_day,light_max_day,light_entropy_day,light_high_duration_day,light_mean_pre_sleep,light_max_pre_sleep,light_entropy_pre_sleep,light_high_duration_pre_sleep,light_mean_sleep,light_max_sleep,light_entropy_sleep,light_high_duration_sleep,light_last_peak_time,screen_events_day,screen_inter_event_std_day,screen_total_duration_day,screen_avg_session_duration_day,screen_cluster_count_day,light_screen_overlap_ratio_day,screen_events_pre_sleep,screen_inter_event_std_pre_sleep,screen_total_duration_pre_sleep,screen_avg_session_duration_pre_sleep,screen_cluster_count_pre_sleep,light_screen_overlap_ratio_pre_sleep,screen_events_sleep,screen_inter_event_std_sleep,screen_total_duration_sleep,screen_avg_session_duration_sleep,screen_cluster_count_sleep,light_screen_overlap_ratio_sleep,screen_last_on_time,screen_first_on_time_day,screen_gap_before_sleep,wifi_scans_full_window,wifi_unique_aps_full_window,wifi_mean_signal_full_window,wifi_signal_std_full_window,wifi_dominant_ap_ratio_full_window,wifi_entropy_full_window,wifi_strong_ap_ratio_full_window,wifi_avg_num_aps_per_scan_full_window,wifi_dominant_ap_changes_full_window,wifi_scans_day,wifi_unique_aps_day,wifi_mean_signal_day,wifi_signal_std_day,wifi_dominant_ap_ratio_day,wifi_entropy_day,wifi_strong_ap_ratio_day,wifi_avg_num_aps_per_scan_day,wifi_dominant_ap_changes_day,wifi_scans_pre_sleep,wifi_unique_aps_pre_sleep,wifi_mean_signal_pre_sleep,wifi_signal_std_pre_sleep,wifi_dominant_ap_ratio_pre_sleep,wifi_entropy_pre_sleep,wifi_strong_ap_ratio_pre_sleep,wifi_avg_num_aps_per_scan_pre_sleep,wifi_dominant_ap_changes_pre_sleep,wifi_scans_sleep,wifi_unique_aps_sleep,wifi_mean_signal_sleep,wifi_signal_std_sleep,wifi_dominant_ap_ratio_sleep,wifi_entropy_sleep,wifi_strong_ap_ratio_sleep,wifi_avg_num_aps_per_scan_sleep,wifi_dominant_ap_changes_sleep,location_mobility_duration_full_window,location_immobility_duration_full_window,location_mobility_ratio_full_window,location_max_still_duration_full_window,location_num_transitions_full_window,location_avg_speed_full_window,location_mobility_duration_day,location_immobility_duration_day,location_mobility_ratio_day,location_max_still_duration_day,location_num_transitions_day,location_avg_speed_day,location_mobility_duration_pre_sleep,location_immobility_duration_pre_sleep,location_mobility_ratio_pre_sleep,location_max_still_duration_pre_sleep,location_num_transitions_pre_sleep,location_avg_speed_pre_sleep,location_mobility_duration_sleep,location_immobility_duration_sleep,location_mobility_ratio_sleep,location_max_still_duration_sleep,location_num_transitions_sleep,location_avg_speed_sleep,calls_total_day,calls_duration_day,calls_total_pre_sleep,calls_duration_pre_sleep,calls_total_sleep,calls_duration_sleep,calls_num_incoming,calls_num_outgoing,calls_num_missed,calls_last_call_time,calls_first_call_next_day,circadian_screen_center,circadian_light_center,circadian_screen_misalignment,circadian_light_misalignment,screen_pre_sleep_ratio,screen_sleep_ratio,light_pre_sleep_ratio,light_sleep_ratio,screen_wind_down_slope,light_peak_hour_day,light_peak_hour_pre_sleep,light_peak_hour_sleep,accel_activity_hourly_std,circadian_disruption_score,evening_stimulation_index,digital_abstinence_before_sleep,screen_events_full_window,screen_total_duration_full_window,screen_avg_session_duration_full_window,screen_inter_event_std_full_window,screen_cluster_count_full_window,light_screen_overlap_ratio_full_window,calls_total_full_window,calls_duration_full_window
678,2025-05-23,4,3015,0.0,0.0,0.0,0.0,9.835760021025477,0.0044843756309776,2.0634801980576083,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,-1.0,-1.0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0.0,2.2325,0.0,49.35,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.2325,0.0,49.35,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,-1.0,-1.0,-1.0,5.666666666666666,-1.0,16.333333333333336,0.0,0.0,0.0,0.9950248756218906,0,-1.0,-1.0,4.0,0,25.28358208955224,0,-1,,,,,,,,
670,2025-05-24,7,0,1.0,0.0,1.0,0.0,9.68534866813801,0.007231092197324162,2.295716938668845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,-1.0,-1.0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,-1.0,-1.0,-1.0,4.458333333333334,-1.0,17.541666666666664,0.0,0.0,0.0,0.9821428571428571,0,-1.0,-1.0,4.0,0,26.363095238095234,0,-1,,,,,,,,
687,2025-05-24,5,525,0.5359116022099447,0.0,0.3416666666666667,0.9180327868852459,9.595404064906377,0.6808291769116813,0.1708440858143632,5.66144578313253,6.308433734939759,2.3025850929940455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.66144578313253,6.308433734939759,2.3025850929940455,0.0,4.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,-1.0,-1.0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0.0,2.6475,0.0,140.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.6475,0.0,140.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,-1.0,-1.0,-1.0,5.499999999999999,-1.0,16.5,0.0,0.0,0.0,0.994475138121547,0,-1.0,-1.0,4.0,0,25.444751381215468,0,-1,,,,,,,,
678,2025-05-24,8,3480,0.4793956043956044,0.11666666666666667,0.20362903225806453,0.5625,9.372371079689943,1.1959663680300685,0.7542946635205656,1.0966621003436431e+18,1.8446744e+19,0.39103615892303756,0.3106529209621993,2.7361199234449824e+17,1.8446744e+19,0.1818367794922219,0.35119617224880384,7.276215688888889e+18,1.8446744e+19,1.2371370657365248,0.4722222222222222,1.5406636155606406,15.066666666666666,0.4704559435077058,0.0,21.65,34,2332.2188217972525,1.6555555555555554,2.9215686274509802,44,0.5882352941176471,7,971.8794902608777,0.8963888888888889,7.683333333333334,5,0.42857142857142855,0,0.0,0.0,0.0,0,0.0,1.7666666666666666,7.433333333333334,8.25,1455,0,0,0,0,0,0,0,0,1045,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,8.667777777777777,14.375,0.3761602816018516,236.75,10.0,0.006063570869565281,8.04888888888889,7.829166666666667,0.5069190532006088,218.05,8,0.006641053809523879,0.6188888888888889,2.608611111111111,0.19175488424132886,94.8,2,0.0,0.0,3.937222222222222,0.0,225.63333333333333,0,0.0,2,0.16416666666666666,1,0.009444444444444445,0,0.0,1,1,1,1.15,9.7,9.614154597316823,5.6250000000000195,12.385845402683177,16.37499999999998,0.17073170731707318,0.0,0.12362637362637363,0.15796703296703296,68,21.65,23.683333333333334,5.733333333333333,0,30.340515732353484,0,-1,41.0,2.5519444444444446,3.734552845528455,2249.2024463005646,49.0,0.5609756097560976,3.0,0.1736111111111111
668,2025-05-24,8,1635,0.226775956284153,0.0,0.38333333333333336,0.12916666666666668,9.733879431115719,0.4570915854385253,0.664446146129756,1.1881278538812785,14.0,0.7067059711611678,0.0,0.0,0.0,0.0,0.0,6.818181818181818,14.0,2.1675942978233884,0.0,0.18924731182795698,10.666666666666666,0.19515233073915444,0.0,4.383333333333334,0,0.0,0.0,0.0,0,0.0,5,561.7378688795453,0.5036111111111111,6.043333333333334,8,0.0,9,1090.2076974271517,0.06888888888888889,0.4592592592592593,14,0.0,10.033333333333333,-1.0,0.0,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0.0,5.791944444444445,0.0,386.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.0,45.0,0,0.0,0.0,5.291944444444445,0.0,327.46666666666664,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,-1.0,-1.0,7.796778857436558,7.041666666666667,14.203221142563443,14.958333333333332,0.36666666666666664,0.6333333333333333,0.15027322404371585,0.8469945355191257,-19,-1.0,4.383333333333334,10.066666666666666,0,43.964833164421364,0,-1,14.0,0.5725,2.4535714285714287,2241.6512991092145,22.0,0.0,,
685,2025-05-24,6,4425,0.0033783783783783786,0.0,0.0,0.005681818181818182,9.795177177386252,0.07722127156076355,0.02259685256646969,0.3559322033898305,2.0,1.1148638333515148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3559322033898305,2.0,1.1148638333515148,0.0,8.316666666666666,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,5,196.55469976573954,0.03277777777777778,0.39333333333333337,6,0.0,8.833333333333334,-1.0,0.0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,1.0466666666666666,2.350277777777778,0.30812004252187425,62.8,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0466666666666666,2.350277777777778,0.30812004252187425,62.8,1,0.0,0,0.0,0,0.0,0,0.0,0,0,0,-1.0,-1.0,8.61831734158964,6.458333333333334,13.38168265841036,15.541666666666666,0.0,1.0,0.0,0.9966216216216216,-10,-1.0,-1.0,8.316666666666666,0,48.889565541293244,0,-1,5.0,0.03277777777777778,0.39333333333333337,196.55469976573954,6.0,0.0,,
681,2025-05-24,7,3900,0.0038314176245210726,0.0,0.0,0.0070921985815602835,9.776128283725633,0.04768972953287649,0.025144069912589193,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,-1.0,-1.0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0.75,3.5,0.17647058823529413,135.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.75,3.5,0.17647058823529413,135.0,4,0.0,0,0.0,0,0.0,0,0.0,0,0,0,-1.0,-1.0,-1.0,6.166666666666666,-1.0,15.833333333333334,0.0,0.0,0.0,0.9961685823754789,0,-1.0,-1.0,4.0,0,24.79501915708812,0,-1,,,,,,,,
678,2025-05-25,3,3870,0.22288261515601784,0.13333333333333333,0.33541666666666664,0.2328767123287671,9.498216835297079,0.8562564118979218,0.7458900652015089,38.93947955390335,161.0,1.7581663452015261,0.020817843866171002,50.32637837837838,161.0,1.8588382430566066,0.03027027027027027,28.87819444444445,61.0,2.148256738000505,0.0,2.5984375000000006,15.25,1.3557782742324096,0.0,8.35,51,1518.5471450314503,1.353888888888889,1.5928104575163398,62,0.058823529411764705,1,,0.24805555555555556,14.883333333333333,0,0.0,1,,0.0008333333333333334,0.05,1,0.0,6.05,8.0,0.0,1345,0,0,0,0,0,0,0,0,925,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,4.249722222222222,17.981944444444444,0.19115625859009922,383.6,14.0,0.05954743333333334,3.711388888888889,11.512777777777778,0.24378272848358787,343.7,13,0.06870857692307693,0.5383333333333333,2.3497222222222223,0.1863999230547273,128.4,1,0.0,0.0,4.1194444444444445,0.0,240.8,0,0.0,1,0.08166666666666667,0,0.0,0,0.0,0,1,0,22.333333333333332,22.333333333333332,18.31295735467848,19.20833333333333,3.687042645321519,2.7916666666666714,0.018867924528301886,0.018867924528301886,0.1337295690936107,0.17830609212481427,100,8.35,0.4166666666666667,2.4166666666666665,0,8.450449478519353,0,-1,53.0,1.6027777777777779,1.8144654088050314,2375.1964036006907,63.0,0.05660377358490566,1.0,0.08166666666666667
670,2025-05-25,5,600,0.8620919387075283,0.8875,0.85,0.8755186721991701,9.398205521943822,0.9992222896303246,0.5048466943104893,34.31933333333333,232.0,1.3645224726372802,0.05466666666666667,43.21632183908046,117.0,1.9724651991941788,0.01264367816091954,76.74111111111111,232.0,1.9928044530651206,0.39444444444444443,0.1497777777777778,30.933333333333337,0.07160559958662935,0.0,22.283333333333335,55,1112.2674439837415,4.020277777777777,4.385757575757576,65,0.03636363636363636,27,419.3180895888111,1.2622222222222221,2.8049382716049385,36,0.5925925925925926,4,7300.3350595806805,0.07444444444444444,1.1166666666666667,4,0.0,5.916666666666667,5.133333333333334,0.0,1500,0,0,0,0,0,0,0,0,870,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,11.807222222222222,12.828055555555556,0.47928106712370466,193.0,13.0,0.1452157656804878,8.241388888888888,5.831944444444445,0.58560318964156,138.825,9,0.10763495987857143,2.975277777777778,0.0,1.0,0.0,0,0.26727886511818183,0.5905555555555555,6.996111111111111,0.07784124194493262,248.1,3,0.0,0,0.0,0,0.0,0,0.0,0,0,0,-1.0,-1.0,18.907397812004806,5.500000000000006,3.092602187995194,16.499999999999993,0.2994350282485876,0.05084745762711865,0.11992005329780146,0.29980013324450366,106,18.033333333333335,22.283333333333335,22.5,0,23.09907809671141,0,-1,86.0,5.356944444444444,3.737403100775194,1839.2237553755288,105.0,0.20930232558139536,,
685,2025-05-25,8,4350,0.4681181959564541,0.6458333333333334,0.09583333333333334,0.0,9.276937254221252,2.5687081763328057,0.7969096082102304,196.34734111543452,5454.0,0.4266994136081443,0.17898832684824903,433.6333333333333,5454.0,0.8154205272521178,0.3734513274336283,39.84777777777777,190.0,1.702498989645016,0.10555555555555556,0.2424074074074074,1.4,0.7292394128023686,0.0,13.6,73,367.19005348481403,1.8163888888888888,1.4929223744292237,102,0.4657534246575342,24,376.6539916384882,0.45666666666666667,1.1416666666666666,35,0.08333333333333333,2,6910.023227167909,0.015277777777777777,0.4583333333333333,2,0.0,2.7,10.516666666666667,0.0,1285,0,0,0,0,0,0,0,0,565,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,540,0,0,0,0,0,0,0,0,18.904166666666665,1.781388888888889,0.9138824730085406,60.0,6.0,2.3300917459753077,8.407222222222222,0.27694444444444444,0.9681092665451173,16.616666666666667,2,5.763750166667923,1.9972222222222222,1.0044444444444445,0.6653710901351101,60.0,2,7.0751337201181626,8.499722222222223,0.5,0.9444427297138801,30.0,2,0.0017318388737133275,7,0.029722222222222223,0,0.0,0,0.0,1,5,1,19.433333333333334,12.15,17.1375144590512,20.958333333333332,4.8624855409488,1.0416666666666679,0.23414634146341465,0.01951219512195122,0.13996889580093314,0.4199066874027994,149,13.6,20.666666666666668,22.666666666666668,0,10.298341032862975,0,-1,99.0,2.2883333333333336,1.386868686868687,918.9786758277359,139.0,0.36363636363636365,7.0,0.029722222222222223
